"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"いや、みんなの言う通りだ……。
俺が問題を前に焦っていた","No, everyone's right... I was panicking in the face of a problem","No, everyone is right. ......
I was the one getting impatient with the problem.","No, everyone's right... I was panicking
in the face of a problem",""
"プロデューサーが冷静沈着であることが、
ルミナスには重要かと","The fact that Producer was calm and collected seemed important to Luminous","Producer is calm and collected,
I thought it was important for luminous","The fact that Producer was calm and
collected seemed important to Luminous",""
"千早、ありがとう。大丈夫だ。
みんなのおかげで、落ち着いてきたよ","Chihaya, thank you. I'm fine now! Thanks to all of the people here..","Thank you, Chihaya, I'm fine.
Thanks to all of you, I'm getting settled in.","Chihaya, thank you. I'm fine now!
Thanks to all of the people here..",""
"問題があれば、私たちを頼りなさい。
そのためのリーダーなんだから","If there are any problems, you can count on us. That's what the leader is for!","If you have a problem, turn to us.
That's what leaders are for.","If there are any problems, you can
count on us. That's what the leader is for!",""
"ああ、そうさせてもらうよ。
みんな聞いてくれるか？","Yeah, I'll do that. Will you all listen to me?","Yeah, I'll let you do that.
Will you guys listen to me?","Yeah, I'll do that.
Will you all listen to me?",""
"はい、もちろんです！","Yes, of course!","","Yes, of course!","Yes, of course!"
"『サマードルフィン』は『スターリットシーズン』の
選考イベントの中でも大きなものだ","“Summer Dolphin” is one of the biggest selection events in Starlit Season","The Summer Dolphin is a ""Starlit Season""
It's one of the biggest selection events.","“Summer Dolphin is one of the
biggest selection events in Starlit Season",""
"フェス形式でどんな相手と向かい合うのか？
この暑さの中でパフォーマンスを発揮できるのか？","What kind of opponent would you face in a festival format? Would it be possible to put on performance during this heat?","What kind of opponent will you face in a festival format?
Can you perform in this heat?","What kind of opponent would you face in a festival format?
Would it be possible to put on performance during this heat?",""
"それも新曲だ。
やるべきことが多くある気がしてな……","That's a new song, too. I feel like there are so many things to do..","It's also a new song.
I feel like we have a lot of work to do. ......","That's a new song, too. I feel like
there are so many things to do..",""
"私たちも、そのことは気になっていたので、
体力づくりには気をつかってるんです","We've been wondering about that too, so we try to build up our stamina","We were concerned about that, too,
I take care of my fitness.","We've been wondering about that too,
so we try to build up our stamina",""
"基礎体力の強化は、
確実な成長を促す定石です","Strengthening your basic stamina is a surefire way of encouraging growth","What about strengthening basic fitness?
It is a set of conventions that promote reliable growth.","Strengthening your basic stamina is
a surefire way of encouraging growth",""
"（……みんな、俺の知らないところで
どんどん成長している）","(Everyone's growing up without me knowing.)","(...... guys, I don't know about you.
(It's growing and growing and growing.)","(Everyone's growing up
without me knowing.)",""
"……すまない。ディアマントが出場することもあって
俺は焦っていたようだ","...I'm sorry. It seems I was impatient due to the fact that Diamant is participating as well..","Sorry ......, Diamant is also competing.
I guess I was in a hurry.","...I'm sorry. It seems I was impatient due to the
fact that Diamant is participating as well..",""
"心に余裕がないと、効率も落ちますし","If you don't have the mental leeway, your efficiency will plummet","If you don't have room in your heart, you're not as efficient.","If you don't have the mental leeway, your efficiency will plummet",""
"プロデューサーもるみなすも、
気持ちばかり急いては、本末転倒です","Producer and Luminous, if you keep rushing your feelings like that it'll be putting the cart before the horse","Both Producer and Rumi Nasu,
If you are in a hurry, you will end up in a heap of trouble!","Producer and Luminous, if you keep rushing your
feelings like that it'll be putting the cart before the horse",""
"そうですよ。時には休むことが成長に繋がるのでは？
寝る子は育つといいますからね","That's right. Sometimes resting leads to growth, don't you think? They do say sleeping children grow up","Yes, sometimes a break is the best way to grow, isn't it?
They say a child who sleeps grows up.","That's right. Sometimes resting leads to growth, don't
you think? They do say sleeping children grow up",""
"こんな時だからこそ、休むか……。
確かに、みんなの言う通りだな","It's times like these that I should take a break. Everyone is right about this, huh?""","This is the time to take a break or .......
You're right, folks.","It's times like these that I should take a
break. Everyone is right about this, huh?",""
"あんたのことだから、心白の件が気になって、
更に焦ってるんじゃないの？","Knowing you, I'm sure your concern for Kohaku has made her even more impatient","Since it's you, I'm curious about the heart white thing,
I thought you were in even more of a hurry.","Knowing you, I'm sure your concern for
Kohaku has made her even more impatient",""
"それもある。
まだ問題が分からなくて、時間だけがすぎていく……","That's part of it. I still have no idea what the problem is, so only time passes..","There is that, too.
I still don't understand the problem, and time is running out: ......","That's part of it. I still have no idea what
the problem is, so only time passes..",""
"私達が共に考え行動すれば、必ず道は……。
皆がここに集まっていることが、何よりの証拠です","If we think and act together, there will always be a way... The fact that everyone is gathered here proves more than anything","If we think and act together, there is always a way. ......
The fact that we are all here together is the best proof of that.","If we think and act together, there will always be a way... The
fact that everyone is gathered here proves more than anything",""
"……ありがとう。
そう言ってもらえると、心強いよ","...Thank you. Hearing that makes me feel reassured","Thanks .......
It's reassuring to hear you say so.","...Thank you. Hearing that
makes me feel reassured",""
"心白ちゃんのことは、
私たちも話しているんですけど……","We're talking about Kohaku, but..","What about Shinbaku-chan?
We're talking about it too: ......","We're talking
about Kohaku, but..",""
"歌もダンスもちゃんとできてますし、
みんなとのコミュニケーションも問題ありません","I'm good at singing and dancing, so communication with everyone is no problem","I can sing and dance properly,
Communication with everyone is no problem.","I'm good at singing and dancing, so
communication with everyone is no problem",""
"そうね、あの子なんでもできちゃうし","Yeah, she can do anything","Yes, she can do anything.","Yeah, she can do anything",""
"私たちも、レッスンしながら
よく見るようにしているのですが……","We've been doing our best to keep an eye on them during lessons, but..","We, too, are teaching a lesson.
I try to look at it often: ......","We've been doing our best to keep
an eye on them during lessons, but..",""
"どうも、
それだけで見えてくる問題ではないようです","That doesn't seem to be the only problem we can see","Hi,
That doesn't seem to be the only problem we see.","That doesn't seem to be the
only problem we can see",""
"あっ、そういえば以前、
美希がこんなことを言っていましたよ","Oh, by the way... Miki said something like this before","Oh, by the way, before,
Miki said something like this.","Oh, by the way... Miki said
something like this before",""
"心白は、歌やダンスを覚えるのは、
美希よりも早いかもしれない――","Kohaku might learn how to sing and dance faster than Miki","Xinbai is the one who learns to sing and dance,
Maybe even faster than Miki--","Kohaku might learn how to sing
and dance faster than Miki",""
"だけど、完璧なのに、足りない気がする……って","But even though it's perfect, I feel like..","But it's perfect, but I feel like I'm missing ......","But even though it's perfect, I feel like..",""
"足りない、か……","Not enough, huh..","Not enough, or ......","Not enough, huh..",""
"私も彼女の歌は聞いても染まるものがない。
心白の歌には『色』がないように感じて……","Even if I listened to her song, it wouldn't be dyed. It felt like there was no ❛color in Kohaku..","I don't have any dyed in the wool when I hear her songs either.
I feel like there is no 'color' in the heart white song. ......","Even if I listened to her song, it wouldn't be
dyed. It felt like there was no ❛color in Kohaku..",""
"なぜ、そのように感じるのかは分かりません。
私もその理由を知りたいのですが……","I don't know why you feel that way. But, if there is a reason for it..","I don't know why I feel that way.
I too would like to know why: ......","I don't know why you feel that way.
But, if there is a reason for it..",""
"心白ちゃんの普段の様子を見たら、なにか分かる
かもって、話してたんです。遊んでいるところとか","If you look at Kohaku-chan's usual behavior, I can tell something. We were talking about how she might be playing around and stuff","If you look at Shinbaku's usual condition, you'll see what I mean.
I was talking about how they were playing and stuff.","If you look at Kohaku-chan's usual behavior, I can tell something.
We were talking about how she might be playing around and stuff",""
"そうですね。４月のお花見以降、
皆と交流する機会も減っているかと","That's right. Since the cherry blossom viewing in April, I think we have had fewer opportunities to interact with everyone","Yes, since the cherry blossom viewing in April,
I'm afraid I don't get a chance to socialize with everyone anymore.","That's right. Since the cherry blossom viewing in April, I think
we have had fewer opportunities to interact with everyone",""
"今月はステージに営業、宣伝と
様々な活動に追われてましたからね","This month, we've been busy with sales and advertising on stage","This month we have stage, sales, and publicity.
I was busy with various activities.","This month, we've been busy with
sales and advertising on stage",""
"今は前に進むためにも、
適度な息抜きが必要じゃないですか？","Right now, we need to take a break so that you can move forward","Now to move forward,
Don't you need a proper break?","Right now, we need to take a break
so that you can move forward",""
"それができたら、一石二鳥だ。
なにかいいアイデアはないかな……","If I could do that, it would kill two birds with one stone. Do you have any good ideas...?","If we could do that, we would kill two birds with one stone.
Any ideas: ......","If I could do that, it would kill two birds with
one stone. Do you have any good ideas...?",""
"そういえば、美希から伝言を預かっていました。
『夏祭りがあるよ』と","Come to think of it, I had a message from Miki. She said there's the Summer Festival","Oh, by the way, Miki left me a message.
'There's a summer festival,' he said.","Come to think of it, I had a message from
Miki. She said there's the Summer Festival",""
"丁度良さそうだ、後で調べておこう。
美希に感謝しないとな","Perfect timing. I'll have to look into it later... Thanks, Miki!","Sounds just right, I'll check it out later.
We have Miki to thank for that.","Perfect timing. I'll have to look
into it later... Thanks, Miki!",""
"美希もプロデューサーのこと心配してたんですよ。
それに、歌唱メンバーのことも","Miki was worried about Producer, too. And she's also concerned for our vocalist members..","Miki was also worried about Producer.
Plus, I've been thinking about the singing members.","Miki was worried about Producer, too. And she's
also concerned for our vocalist members..",""
"（みんな……。
俺のことも、ルミナスのことも心配してくれて……）","(Everyone... They were worried about me and Luminous.)","(They are all at .......
(......) for worrying about me and Luminous.","(Everyone... They were worried
about me and Luminous.)",""
"俺はなにを悩んでたんだろうな。
ありがとう……みんながいてくれれば大丈夫だ","What was I worrying about? Thank you... As long as everyone's here, everything will be fine","I wonder what I was worried about.
Thank you ...... you guys are the reason I'm okay.","What was I worrying about? Thank you... As long
as everyone's here, everything will be fine",""
"みんな、よろしく頼む！","I'm counting on you guys!","Best regards, everyone!","I'm counting on you guys!",""
"（『サマードルフィン』も心白の問題も
みんながいれば、乗り越えられるはずだ）","(As long as everyone's here, we should be able to overcome both the Summer Dolphin and Kohaku problems.)","(""Summer Dolphin"" and the heart-white issue as well.
(With everyone here, we should be able to get through this.)","(As long as everyone's here, we should be able to overcome
both the Summer Dolphin and Kohaku problems.)",""
"（週が明けて、最初の全体レッスンが始まった……）","(The week ended, and the first general lesson began...)","(The week began with the first whole lesson: ......)","(The week ended, and the first general lesson began...)",""
"さあ、レッスン始めよっか！
月末まで時間がないから、頑張らなくちゃね！","Come on, let's start the lesson! We don't have much time until last month so we need to do our best","Let's start the lesson, shall we?
We don't have much time until the end of the month, so we have to work hard!","Come on, let's start the lesson! We don't have much
time until last month so we need to do our best",""
"そうですね。
少しでもパフォーマンスの完成度を高めないと","You're right. I need to improve my performance as much as possible","Yes, it is.
We need to perfect our performance as much as possible.","You're right. I need to improve
my performance as much as possible",""
"う、うん……！　お休み、したい……けど……
完成度を、高めないと……！","Y-Yeah...! I want to take a break, but it's too late now","Umm, yeah ......! Good night, I want to ...... but ......
We need to increase the level of perfection, ......!","Y-Yeah...! I want to take a
break, but it's too late now",""
"（やはり、疲れは抜けきっていないようだ……）","(As I thought, his fatigue hasn't completely worn off...)","(I guess I'm still tired. ......)","(As I thought, his fatigue hasn't completely worn off...)",""
"ワン、ツー、スリー……わわっ！","One, two, three... Wow!","One, Two, Three...... wow!","One, two, three... Wow!",""
"あ、危ない！
未来、大丈夫？","W-Watch out! Mirai, are you okay?","Oh, look out!
Future, are you okay?","W-Watch out!
Mirai, are you okay?",""
"えへへ、ごめん翼。
ちょっと足が滑っちゃったみたい","Hehe, sorry Tsubasa. My foot slipped a little","Hehe, sorry wings.
I think I slipped a little.","Hehe, sorry Tsubasa. My
foot slipped a little",""
"深淵の楔が、この身を蝕む……","The wedge of the abyss is eating away at my body..","A wedge of the abyss consumes this body: ......","The wedge of the abyss is eating away at my body..",""
"（思うように身体が動かないです～！）","(I can't move my body the way I want!)","(I can't move my body as much as I'd like~!)","(I can't move my body the way I want!)",""
"ふぅ……私もちょっと、動きが鈍くなってきた
みたい。少し休憩した方がいいかしら？","Phew... I'm starting to slow down, too. Maybe we should take a break for now""","Whew ...... I'm starting to slow down a bit, too.
I wonder if we should take a break?","Phew... I'm starting to slow down, too.
Maybe we should take a break for now",""
"休憩さんせーいっ！
疲れてるときは、休むのが一番でーす！","Break time! When you're tired, rest is the best thing to do","Take a break!
When you are tired, it is best to rest!","Break time! When you're tired,
rest is the best thing to do",""
"で、でも……！
レッスン、始まったばっかりです……っ","B-But...! The lesson just started","And but ......!
The lesson has just started: ......","B-But...! The
lesson just started",""
"私はまだまだ全然大丈夫です！","I'm still totally fine!","I am still totally fine!","I'm still totally fine!",""
"あ……それじゃあ、休憩する人と
レッスンを続ける人で分かれるのはどうでしょう？","Oh... Well then, how about we split into two groups: those taking a break and the ones continuing their lessons?","Oh, ...... then, with those who take a break.
How about dividing the lessons among those who continue to learn?","Oh... Well then, how about we split into two groups: those
taking a break and the ones continuing their lessons?",""
"そうですね。できれば全員でレッスンをして、
動きを合わせたいですけど……","You're right. If possible, I would like to take lessons with everyone and match their movements..","Yes, preferably with a lesson for everyone,
I'd like to match the movement, though: ......","You're right. If possible, I would like to take lessons
with everyone and match their movements..",""
"焦っちゃう気持ち、きらりもわかるよぉ。
でもね、休憩もレッスンのうちなんだゆ？","I understand why you're in such a hurry. But break time is part of the lesson, right?","Kirari understands how you feel when you are in a hurry.
But you know, breaks are part of the lesson, right?","I understand why you're in such a hurry.
But break time is part of the lesson, right?",""
"きらりの言う通りだな。
よし、みんな！　少し休憩をしよう","Kirari's right. Okay, everyone! Let us take a short break","Kirari is right.
Okay, guys, let's take a little break.","Kirari's right. Okay, everyone!
Let us take a short break",""
"先週からの疲労が残っていて、
レッスンの精度が下がっているな","You've been exhausted since last week, and the accuracy of your lessons has decreased","I was still fatigued from last week,
You're not being as precise in your lessons.","You've been exhausted since last week, and
the accuracy of your lessons has decreased",""
"はい。先週末に美嘉さんが言った通りでした","Yes. It was just like Mika-san said last weekend","Yes, just as Mika said last weekend.","Yes. It was just like Mika-san said last weekend",""
"でもでも静香ちゃんは、レッスン頑張らなきゃ～って
一生懸命だっただけだもん！　だから大丈夫だにぃ♪","But, but Shizuka-chan was just trying her hardest to get good practice done! So it's okay♪","But Shizuka said, I have to work hard on my lessons.
I was just trying my best!","But, but Shizuka-chan was just trying her hardest
to get good practice done! So it's okay♪",""
"（少し気分転換をした方がいいか。そういえば……
よし、ここは美希が気付くように、と）","(Maybe I should take a change of pace. Now that you mention it... Okay, let's just make sure Miki finds out about this!)","(I should probably change my tune a bit, come to think of it: ......
(Okay, here's Miki to notice.)","(Maybe I should take a change of pace. Now that you mention
it... Okay, let's just make sure Miki finds out about this!)",""
"……コホン。これは少し気分転換をした方がいいな。
コホン……どこか良い場所はないか","...Ahem. I think this will be a good change of pace for now... *cough* Is there anywhere nice?","...... cohon. This could use a bit of a change of scenery.
Cohon...... any good places to go?","...Ahem. I think this will be a good change of
pace for now... *cough* Is there anywhere nice?",""
"ねぇ、ハニー……じゃなかったプロデューサー。
気分転換するなら、ミキ、いい場所を知ってるの☆","Hey, honey... I mean Producer. Miki knows a good place to take your mind off things☆","Hey, honey, Producer that wasn't .......
If you need a change of pace, Miki, I know a great place☆.","Hey, honey... I mean Producer. Miki
knows a good place to take your mind off things☆",""
"あのね、もうすぐ、お祭りがあるの！
そこにみんなで行けばいいって思うな♪","You know, the festival is coming up soon! Don't think we can all go there together♪","You know, there is a festival coming up soon!
Don't think we can all go there.","You know, the festival is coming up soon!
Don't think we can all go there together♪",""
"うわぁ！　夏祭りですか、いいですね！
すっごく楽しそうですー♪","Wow! A summer festival, huh? That sounds great. You look like you're having so much fun~","Wow! A summer festival, that's nice!
Looks like a lot of fun!","Wow! A summer festival, huh? That sounds great.
You look like you're having so much fun~",""
"夏祭りですと！？　ねぇ、兄ちゃん！
レッスンなんてしてる場合じゃないよ～！","A summer festival?! Hey, Nii-chan... This isn't the time for lessons~","It's a summer festival! Hey, brother!
I don't have time for lessons!","A summer festival?! Hey, Nii-chan...
This isn't the time for lessons~",""
"そうだよそうだよー！　ねぇねぇ兄ちゃん！
夏祭りの日は、レッスン休みってことでいいよね？","Yeah, that's right! Hey hey Nii-chan!! We can call it a summer festival off from lessons on the day of its Summer Festival. Right?""","That's right, that's right! Hey, hey brother!
On the day of the summer festival, we'll have lessons off, right?","Yeah, that's right! Hey hey Nii-chan!! We can call it a summer
festival off from lessons on the day of its Summer Festival. Right?",""
"プロデューサー、ダメですか？
せっかくだから、みんなと一緒に行きたいです……","Producer, can't I? Since we have the chance... We want to go with everyone","Producers, no?
Since I'm here, I'd like to go with you guys: ......","Producer, can't I? Since we have the
chance... We want to go with everyone",""
"そうだな……","You're right..","Yes. ......","You're right..","Let's see..."
"プロデューサーさん。今回は思い切ってレッスンを
お休みにしてもいいんじゃないでしょうか？","Mr. Producer, why don't you take a break from your lessons this time?","Producer, I'm going to go out on a limb this time and give you a lesson.
I think you can take the day off.","Mr. Producer, why don't you take a
break from your lessons this time?",""
"最近、ぜんぜん遊んでなかったですもんね～♪
今からワクワクしてきました♪","You haven't been playing around at all lately, have you~? I can feel the excitement now!","I haven't been playing much lately.
I'm getting excited now... ♪","You haven't been playing around at all
lately, have you~? I can feel the excitement now!",""
"歌もダンスも、いい感じだって思うな。
だから１日くらい休んでも平気なの☆","I think singing and dancing are great. So it's okay to take a day off☆","I don't think singing and dancing are good.
That's why I don't mind taking a day off.","I think singing and dancing are great.
So it's okay to take a day off☆",""
"むしろ、心も身体も休め、気持ちを一新することで
今後の集中力も高まるかと","In fact, I thought it would increase your concentration going forward by taking a break both physically and mentally to refresh yourself","Rather, by resting your mind and body and renewing your spirit.
I thought it would help me focus better in the future.","In fact, I thought it would increase your concentration going forward
by taking a break both physically and mentally to refresh yourself",""
"プロデューサーさん……っ","Producer..","Producer: ......","Producer..",""
"よし、夏祭りに行くとしよう","Alright, let's go to the summer festival","Okay, let's go to the summer festival.","Alright, let's go to the summer festival",""
"レッスンの時間を確保したい者もいるだろうけど、
今のままだと、ケガをする恐れがあるからな","I'm sure some of you want to secure time for your lessons, but if things stay the way they are now there is a risk that someone will get hurt","I know some of you will want to make time for lessons,
As it is now, there's a risk of injury.","I'm sure some of you want to secure time for your lessons, but if things
stay the way they are now there is a risk that someone will get hurt",""
"確かに、ケガをしては元も子もない。
急いては事を仕損じる、とはまさにだ","It's true that if you get hurt, it will all be for nothing. Hurrying up and ruin the situation is exactly what we need to do""","Certainly, there is no point in getting injured.
Haste makes waste.","It's true that if you get hurt, it will all be for nothing.
Hurrying up and ruin the situation is exactly what we need to do",""
"そういうことだ。それに最近、みんなの笑顔が
少なくなってもいるからな","That's how it is. Besides, everyone has been smiling less lately","That's what I'm talking about, plus the smiles on everyone's faces lately.
They're there, even if they're getting fewer and fewer.","That's how it is. Besides,
everyone has been smiling less lately",""
"思いっきり夏祭りを楽しんで、
リフレッシュしてほしい","I want you to enjoy the summer festival and refresh yourself","Enjoy the summer festival to the fullest,
I need you to refresh.","I want you to enjoy the summer
festival and refresh yourself",""
"分かりました！
いーっぱい楽しみますっ！","Understood! I'll enjoy it to the fullest","I understand!
I will enjoy it as much as I can!","Understood! I'll
enjoy it to the fullest",""
"お祭りかー。人が多くて大変そうだけど……。
りんご飴に、わたあめ……悪くないかもね","Festival, huh? Sounds like it'll be tough with so many people here. Candied apples and cotton candy... Not bad at all""","A festival...sounds like a lot of people. ......
Maybe a candy apple and a cotton candy ...... wouldn't be a bad idea.","Festival, huh? Sounds like it'll be tough with so many people
here. Candied apples and cotton candy... Not bad at all",""
"（みんな、ありがとう。
自然なフォローで助かった……）","(Thank you, everyone. I'm glad that was a natural follow-up...)","(Thanks, guys.
(Natural follow-up helped ......)","(Thank you, everyone. I'm glad that
was a natural follow-up...)",""
"（ルミナスに笑顔が戻ってくれれば、
それが一番の力になるはずだ）","(If Luminous can smile again, that should be the best way to help her.)","(If only Luminous could put a smile back on my face,
(That should help the most.)","(If Luminous can smile again, that should
be the best way to help her.)",""
"（心白の問題に関して、自分でも動かないとな。
みんなと話して、迷いもふっきれた）","(I have to do something about Kohaku's problem. Talking with everyone helped me get rid of my doubts)","(I've got to get myself moving on the mind-white issue.
(After talking to everyone, my doubts were cleared up.)","(I have to do something about Kohaku's problem.
Talking with everyone helped me get rid of my doubts)",""
"（心白に会って、色々と話してみよう。
そのために亜夜とも会ったわけだし……）","(I'll meet up with Kohaku and talk to him about various things. That was why I met Aya...)","(Let's meet Xinbai and talk about things.
(And that's why I met with Aya as well. ......)","(I'll meet up with Kohaku and talk to him
about various things. That was why I met Aya...)",""
"プロデューサーさん、お待たせしました","Thanks for waiting, producer","Thank you for your patience, producer.","Thanks for waiting, producer","Sorry to keep you waiting, producer."
"忙しいところ、ありがとう。
少し話したいことがあるんだ、大丈夫だったかな？","Thank you for taking time out of your busy schedule. There's something I want to talk about, is everything okay?","Thanks for your time.
I need to talk to you for a minute. I hope that was okay.","Thank you for taking time out of your busy schedule.
There's something I want to talk about, is everything okay?",""
"はい、大丈夫です。
どんなことでしょうか？","Yes, I'm fine. What do you mean?","Yes, it is okay.
What is it about?","Yes, I'm fine.
What do you mean?",""
"みんなとレッスンに励んでくれていると思うが、
新しい楽曲はどうだ？","I think you're working hard on your lessons with the others. How about a new song?","I know you've been working hard on your lessons with everyone,
How's the new music coming?","I think you're working hard on your
lessons with the others. How about a new song?",""
"新曲のリズムやパフォーマンスは、
マスターできたと思います","I think you've mastered the rhythm and performance of your new song","Rhythm and performance of the new songs,
I think I've mastered it.","I think you've mastered the rhythm
and performance of your new song",""
"もうできたのか？","Is it done yet?","Already done?","Is it done yet?",""
"はい。みなさんを参考にさせていただきました。
それと、歌唱メンバーの方々を見ているのですが……","That's right. I used everyone as a reference to see what they were up against, too! Also...I was looking at the members of Singularity who sang for us earlier today","Yes, I have used you all as a reference.
And I'm looking at the singing members: ......","That's right. I used everyone as a reference to see what they were up against, too!
Also...I was looking at the members of Singularity who sang for us earlier today",""
"みなさんの元気……それに明るさが生み出す力は
ひとりひとり、とても違ったものに感じるんです","Everyone's energy... and the power produced by their cheerfulness feels very different for each of them, too.""","Your energy ...... and the power that brightness creates is
Each one feels very different from the next.","Everyone's energy... and the power produced by their
cheerfulness feels very different for each of them, too.",""
"心白は、よく見てるな……。
この曲の本質を見抜いている気がするよ","Kohaku, you're watching closely... I feel like he sees the true nature of this song","Mind White is looking closely at .......
I feel like you're seeing right through the essence of this song.","Kohaku, you're watching closely... I feel
like he sees the true nature of this song",""
"昔から、お母さんに鍛えられたからかもしれません。
なんだか、その頃の話を思い出しました……","Maybe it's because I was trained by my mother for a long time. It reminds me of those days..","Maybe it is because I was trained by my mother for a long time.
I kind of remember that story from back then: ......","Maybe it's because I was trained by my mother
for a long time. It reminds me of those days..",""
"……ん？　どういうことだ？","...Hm? What's going on here","...... hmm? What do you mean?","...Hm? What's going on here",""
"小さいころからお母さんの教育方針で、
役者さんの演技を見ていたのですが……","Ever since I was little, my mom's been teaching me to watch actors perform","Since I was a little girl, it was my mother's educational policy,
I was watching the actor's performance: ......","Ever since I was little, my mom's
been teaching me to watch actors perform",""
"同じ演技でも笑顔はひとりひとり違う。
その理由は、なぜだろうって","Even though we're acting the same, our smiles are different. I wonder why..","Even though the performances are the same, the smiles are different for each one of them.
And I wondered why that was.","Even though we're acting the same, our
smiles are different. I wonder why..",""
"そのことを、
お母さんに聞いたことがあるんです","I've heard about it from my mom","About that,
I've asked my mom about it.","I've heard about
it from my mom",""
"『想いによって笑顔は人それぞれに違う』と……。
良く気づいたわね、とお母さんが言ってくれました","“Everyone has their own smile depending on how they feel,” my mother said","'Everyone smiles differently depending on their feelings,' says .......
Good on you for noticing, said the mother.","“Everyone has their own smile
depending on how they feel, my mother said",""
"想いで作られる笑顔が本当の笑顔だと思うわ、
とお母さんは教えてくれて……","Mom told me that a smile made with feelings is the real thing..","I think a true smile is a smile made with thought,
And my mom taught me and ......","Mom told me that a smile made with
feelings is the real thing..",""
"私にできるでしょうか……","Can I do it...?","Can I do it? ......","Can I do it...?",""
"できると思うぞ。だって、
心白だって、楽しそうに笑っているじゃないか","I think you can. After all, even Kohaku is smiling happily","I think you can do it,
Even Shinbaku is smiling happily.","I think you can. After all,
even Kohaku is smiling happily",""
"でも、特にステージ上では
私に本当の笑顔ができていると思えなくて……","But especially on stage, I don't think there are any real smiles for me..","But especially on stage.
I didn't think I had a real smile on my face. ......","But especially on stage, I don't think
there are any real smiles for me..",""
"それはステージの上だと緊張するとか、
不安になる……ということか？","Does that mean you're nervous on stage, or worried?","That said, I hear you get nervous when you are on stage,
Does this mean that you are anxious ......?","Does that mean you're
nervous on stage, or worried?",""
"そういうことはないんですけど……","That's not true, but..","That's not how it works. ......","That's not true, but..",""
"私がステージの上にいていいのかな、
と思う時はあります……","There are times when I wonder if it's okay for me to be on stage..","Am I allowed to be on stage?
Sometimes I think ......","There are times when I wonder if
it's okay for me to be on stage..",""
"（過去の件、亜夜となにか関係しているのか……。
確かめるとしたらここしかないか……）","(I wonder if it has something to do with Aya's past... I guess this is the only place we can find out for sure.)","(Is there something to do with the past, Aya? .......
(The only place to be sure is here: ......)","(I wonder if it has something to do with Aya's past... I
guess this is the only place we can find out for sure.)",""
"……この前、亜夜に会ったよ","...I met Aya the other day","...... I met Aya the other day.","...I met Aya the other day",""
"そうですか……。
亜夜ちゃん、なにか言ってましたか？","I see... Aya-chan, did you say something?","I see. .......
Aya, did you say something?","I see... Aya-chan, did
you say something?",""
"『あたしと心白は、
ふたり組のユニットで活躍するはずだった』と","“Kohaku and I were supposed to be active in a pair of units,” he said","I and Xinhaku are,
We were supposed to be a two-person unit, he said.","“Kohaku and I were supposed to be
active in a pair of units, he said",""
"……そうです","...That's right","...... yes","...That's right",""
"俺も見てみたかったな、ふたりのユニット","I would've liked to see the two units, too","I would have liked to have seen the two of them as a unit.","I would've liked to see the two units, too",""
"…………","…………","","…………","…………"
"その時のこと、少し教えてくれないか？","Could you tell me a little about that time?","Can you tell me a little bit about that time?","Could you tell me a little about that time?",""
"……すみません","...I'm sorry","Sorry ......","...I'm sorry","...I'm sorry."
"その話は、あまり……","That story isn't very..","That story, not so much: ......","That story isn't very..",""
"（言うべきタイミングではなかったか……。
でもなんだろう……瞳の奥になにかを感じる……）","(Maybe this wasn't the right time to say it... But I can feel something deep in her eyes.)","(Was this not the right time to say it? .......
(But I wonder what it is ......I feel something behind your eyes ......)","(Maybe this wasn't the right time to say it...
But I can feel something deep in her eyes.)",""
"そうか、すまなかった。
聞かれても困る話を質問してしまって","I see. I'm sorry for asking you a question that would be troubling if someone asked me the same thing, huh""","Okay, I'm sorry.
I asked a question about a story I didn't want to be asked.","I see. I'm sorry for asking you a question that would
be troubling if someone asked me the same thing, huh",""
"いえ、とんでもないです……
私、レッスンに戻ります。失礼します","No, not at all... I'm going back to my lesson. Excuse me","No, not at all. ......
I'm going back to my lesson, if you'll excuse me.","No, not at all... I'm going
back to my lesson. Excuse me",""
"今日は色々と話をしてくれてありがとう。
新曲期待してるぞ！　レッスン頑張ってくれ！","Thank you for telling me so much today. I'm looking forward to hearing your new song! Good luck with the lesson, okay?","Thanks for talking to me today about all of this.
I'm looking forward to your new song! Good luck with your lessons!","Thank you for telling me so much today. I'm looking forward
to hearing your new song! Good luck with the lesson, okay?",""
"（私に本当の笑顔ができていると思えなくて……か。
悩みを抱えていること自体は間違いないようだ）","(You don't think I can smile... huh. There seems to be no doubt that he is troubled by something)","(I don't think I have a real smile on my face. ......?
(There seems to be no doubt in my mind that you have a problem.)","(You don't think I can smile... huh. There seems
to be no doubt that he is troubled by something)",""
"（亜夜との事もやはりなにか関係ありそうだ……。
問題に迫る手がかりが、出てきた気がするな）","(It looks like Aya and I have something to do with each other.... It feels as if we've found a clue about the problem at hand)","(I still think the thing with Aya has something to do with it. ......
I think we're starting to get to the bottom of the problem.)","(It looks like Aya and I have something to do with each other....
It feels as if we've found a clue about the problem at hand)",""
"――夏祭り当日――","—The day of the summer festival—","--On the day of the summer festival--","—The day of the summer festival—",""
