"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"テルプシコラーの舞踏……
これこそが我らが遊戯に相応しいっ！","","TerpsichoLeon Dance: ......
This is what our game deserves!","","The Terpsichkollar's dance...
This is perfect for our game!",""
"（ダンスゲームがありますよ。
これなんかどうですか？）","","(There is a dance game.
(How about something like this?)","","(There's a dance game.
How about this?)",""
"ダンスゲームかぁ、いいね、これにしようよ！
誰からやる？　自分はいつでもオッケーだぞ","","Dance game....great...let's do this!
Who's up for it? I'm always up for it.","","A dance game, huh? That's great. Let me try this one!
Who do you want to start? I'm always ready.",""
"それじゃあ、私からやってみるね。
えっと、まずは曲を選んで……よーし、行くよー！","","Well, I'll give it a go then.
Let's see, first of all, choose a song and go to ...... Okay, here we go!","","Then, I'll give it a try.
Let's see, first we need to pick a song... Okay! Here I go.",""
"えっと、画面をしっかり見て、
同じように動いて……って、きゃあああっ！","","Well, watch the screen carefully,
It moves the same way and ......, yikes!","","Um, look closely at the screen and move just like that... Eek!","Um, look closely at the screen
and move just like that... Eek!"
"どんがらがっしゃーん！！","","Dongaragansha!","","*clank*!!",""
"は、春香、大丈夫？　もう、画面にばっかり
集中してるから転んじゃうんだぞ","","Haruka, are you okay? You're all over the screen!
You're concentrating so hard, you'll fall.","","H-Haruka, are you okay? Geez. You're too focused on the screen to fall over like that!","H-Haruka, are you okay? Geez. You're too focused
on the screen to fall over like that!"
"うう……。ゴメンね、響ちゃん","","Ugh ....... Sorry, Hibiki.","","Ugh... Sorry, Hibiki-chan.",""
"は、春香さん、大丈夫ですか？","","Ha, Haruka-san, are you okay?","","H-Haruka, are you okay?",""
"蘭子ちゃんも、心配かけちゃってゴメンね！
えへへ、私なら大丈夫……ほら、もう平気だから！","","Sorry to worry you too, Ranko!
Hehe, I'll be fine. ...... See, I'm fine now!","","I'm sorry for making you worry, Ranko-chan!
Hehe, I'll be fine... See? Everything is okay now!",""
"よーし、次は自分がやるぞ！
春香の仇はしっかりとってあげるさー","","Alright, I'll do it next time!
I will avenge Haruka's death!","","Alright, I'll do it myself next!
I'll avenge haruka.",""
"南国の輝きを抱く乙女よ！
汝の舞でこの箱庭に新たなる風を！","","O maiden who embraces the glow of the tropics!
Give a new wind to this box garden with your dance!","","O maiden of the southlands!
May your dance bring a new wind to this miniature garden!",""
"（響さん、がんばってくださーい♪）","","（Hibiki, please keep up the good work...)","","(Hibiki-san, do your best!♪)",""
"なんくるないさー！
自分の雄姿、しっかり見ててよねっ！","","It's nothing to worry about!
Watch your own heroic figure, okay?","","What's not coming!?
Watch your own figure carefully!",""
"（その後もいろいろなゲームをする３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of us played various games after that.
Glad to see you had a good time off!)","","(After that, the three of us played various games.
I'm glad to see you had a fulfilling day off!)",""
"（今日は杏の提案で、
ＶＲ体験をすることになった……）","","(Today, apricot suggestion,
(......) which is a VR experience.","","(At Anzu's suggestion, we decided to have a VR experience today...)","(At Anzu's suggestion, we decided
to have a VR experience today...)"
"ここが噂のＶＲ体験コーナーかぁ。
いろんなゲームがあるみたいだけど、どうする？","","So this is the rumored VR experience corner.
Seems like there are a lot of games to play.","","So this is the rumored VR experience corner, huh.
Looks like you've got a lot of different games. What do we play?",""
"杏、ＶＲ公園でリラックスだって♪　ミキ、ここで
おにぎり食べながら、のんびりお昼寝したいな","","Anzu says she's relaxing at VR Park... Miki, here.
I'd love to take a leisurely nap while eating onigiri.","","Anzu, relax in the VR park♪ Miki wants to eat onigiri here and take a nap.","Anzu, relax in the VR park♪ Miki wants
to eat onigiri here and take a nap."
"神秘的な空間で占い……。どういう感じなのかしら？
ねぇ、杏ちゃん。よかったら一緒にやらない？","","Fortune-telling in a mystical space ....... What's it like?
Hey, Anzu, would you like to join us?","","Fortune-telling in a mysterious space... I wonder what it's like?
Hey, Anzu-chan. Would you like to play together?",""
"ＶＲで冒険？　君も勇者になって魔王を倒そう……？
面白そう♪　杏さん、一緒にやりませんかっ！","","Adventures in VR? You too can become a brave warrior and defeat the Demon King. ......?
Sounds interesting... Anne, why don't you join us?","","An adventure in VR? Let's become heroes and defeat the Demon Lord...
Sounds fun! ♪ Anzu-san, want to play together?",""
"ＶＲで空飛ぶ体験ですか。少し興味がありますね。
杏さん、やり方がわからないので出来れば一緒に……","","I'm a little curious about the experience of flying in VR.
Anne, I don't know how to do this, so if you can, please join me: ......","","A VR flying experience? I'm a little curious.
Anzu-san, I don't know how to do it so if you could come with me...",""
"ＶＲで体験する世界の旅、か。フフ、心が躍るね。
杏、共に異国を巡る旅人にならないかい？","","A trip around the world experienced in VR, huh, that's exciting.
Anne, would you like to be a traveler with me in a foreign country?","","A trip to a world where you experience VR, huh. Haha... My heart is dancing with excitement!
Anzu, won't you join me in traveling around the world?",""
"……杏、ＶＲハイキングって何？
みんなで山登りするの？","","...... apricot, what is VR hiking?
Are we all going to climb mountains together?","","...Anzu, what's VR hiking?
We're all going up the mountain together?",""
"えっと、なになに……のどかな山道を、
のんびりまったりお散歩できるＶＲ体験、だってさ","","Let's see, what's ...... a peaceful mountain road,
A relaxing and leisurely stroll in VR, they say.","","Let's see... A VR experience where you can take a leisurely stroll down the peaceful mountain path.","Let's see... A VR experience where you can take a
leisurely stroll down the peaceful mountain path."
"山頂でおにぎり食べたら、美味しいかな？
ミキ、これやってみたいって思うな！","","Would it taste good to eat onigiri at the summit?
Miki, don't think I want to try this!","","Would it taste good if I ate onigiri up there?
Miki, I want to try this!",""
"なんだか面白そう。
杏ちゃん、どうかしら？","","It looks kind of interesting.
Anzu, what do you think?","","Sounds interesting.
Anzu-chan, what do you think?",""
"いいと思うよ。それにのんびりまったりだからね。
杏もゆっくりできるなら大賛成だよー","","I think it's good, and it's a leisurely, laid-back experience.
I'm all for apricots as long as they can relax too!","","I think it's a good idea. Besides, we can take our time and relax here for the rest of eternity!
If Anzu can take her time, I'm all for it-",""
"なら、さっそくやってみましょう。
ええと、入り口は……あっちね","","Then let's get on with it.
Well, the entrance is ...... over there.","","Then let's give it a try.
Let's see, the entrance is... over there.",""
"いや、そっちは出口……
だ、大丈夫かな……","","No, that one is the exit ......
Hey, I hope it's okay. ......","","No, that's the exit...
I-I wonder if she'll be okay...",""
"ちょ、ちょっと美希ちゃん！
そんなところで寝たらダメだって……！","","Wait a minute, Miki!
He said you shouldn't sleep in such a place. ......","","H-Hey, Miki!
I told you not to sleep there...!",""
"あふぅ……すやすや……なの","","I'm ah...... at ease......","","*yawn*... Zzz, zzt.",""
"あらあら、山頂はどっちかしら……？","","Oh my goodness, which way is the summit: ......?","","Oh, my. Which way is the summit?",""
"あ、あずささんも、そっちじゃないって……
ＶＲで道に迷うなんて、聞いたことないよ","","Oh, and Azusa, not that way. ......
I've never heard of getting lost in VR.","","Azusa-san said it wasn't that way, either...
I've never heard of anyone getting lost in VR.",""
"って、杏全然のんびりまったりできてないじゃん！
……はぁ、もう帰りたい……","","I mean, you can't relax and chill out with apricots at all!
......Ha, I want to go home now......","","Wait, Anzu isn't taking it easy at all!
*sigh* I just want to go home...",""
"（ハプニングがあったが、その後もＶＲ体験を続けた
３人。充実したオフを過ごしたようでなによりだ！）","","(Happened, but then continued the VR experience.
(Three, glad to hear you had a productive time off!)","","(It happened, but the three of us continued our VR experience after that. I'm glad to see we had a good time off!)","(It happened, but the three of us continued our VR experience
after that. I'm glad to see we had a good time off!)"
"（今日は美嘉の提案で、
遊園地に遊びに行くことになった……）","","(Today, at Mika's suggestion,
(We're going to go play at the amusement park: ......)","","(At Mika's suggestion, we decided to go play at the amusement park today...)","(At Mika's suggestion, we decided to
go play at the amusement park today...)"
"さてと、みんなはどのアトラクションから行く？
どうせなら、時間いっぱい楽しまないとね★","","Alright, which attraction do you guys want to go to first?
We have to enjoy ourselves for the full time anyway.","","Okay, which attraction do you guys want to start with?
I'll have to enjoy my time.★",""
"美嘉さん、ホラーハウスに行きましょう。すごく
かわいいお化けが出るってＳＮＳで評判みたいです","","Mika, let's go to Horror House, very much.
It seems to be popular on social networking sites for having cute ghosts!","","Mika, let's go to the haunted house. It seems like there are a lot of rumors on social media about how cute you can be!","Mika, let's go to the haunted house. It seems like there are
a lot of rumors on social media about how cute you can be!"
"まずはマップを見て……と。来たからには全ての
アトラクション制覇を目指さないと！","","First, look at the map at ....... Now that you're here, you can see all the
We need to try to conquer the attractions!","","First, I'll look at the map. Now that we have a goal of conquering all attractions!","First, I'll look at the map. Now that we have
a goal of conquering all attractions!"
"ここ、ジェットコースターがたくさんあるよ！
絶叫系に悶絶系、恐怖系だって！　超楽しそう！","","There are many roller coasters here!
Screaming, fainting in agony, and even frightening!","","There are so many roller coasters here!
The screams, the agony and fear! It looks like you're having so much fun.",""
"美嘉さん、コーヒーカップに乗りませんか？
どっちが多く回せるか、勝負しましょうっ！","","Mika, would you like to get on the coffee cup?
Let's play to see who can turn in more!","","Mika-san, would you like to ride in a coffee cup?
Let's see who can spin more!",""
"あ、メリーゴーランドだ♪
ねぇ、美嘉さん一緒に乗りましょうよ～","","Oh, it's a merry-go-round... ♪
Hey, Mika, let's ride together~!","","Oh, it's a merrygoround.♪
Hey, Mika-san. Let's ride together~",""
"美嘉さん、まずはデートコースの定番、
お化け屋敷に行きましょうよ～♪","","Mika, first of all, the standard date course,
Let's go to the haunted house!","","Mika, let's go to the haunted house first.♪","Mika, let's go to the
haunted house first.♪"
"いいよ～。けど、デート、かぁ……","","Okay~ but a date, huh? ......","","Sure. But a date, huh...",""
"おやおや～。みかぴょん、デートっていう言葉に
なにやら反応しているようですなぁ～","","Oh, well~ Mikapin, the word ""date"" is
It seems to be reacting to something.",""," my, Mika-pyon. It seems you're reacting to the word “date” for some reason~","my, Mika-pyon. It seems you're reacting
to the word “date for some reason~"
"ち、違うし……！　ほら、遊園地って、
デートの定番だなぁ、って思っただけだから","","Look, it's not the same thing as an amusement park. ......!
I just thought it was a classic date night.","","N-No! I was just thinking that amusement parks are a staple of dates.","N-No! I was just thinking that
amusement parks are a staple of dates."
"わたしも美嘉さんのデート体験気になるなぁ","","I'm curious about Mika's dating experience too.","","I'm also curious about mikasans date experience.",""
"ねぇねぇ、美嘉さんのとっておきのデートのお話、
聞かせてくださいよ～。ダメぇ？","","Hey, hey, Mika-san's special date story,
Let's hear it... No?","","Hey, hey. Tell me about your special date  Can I?","Hey, hey. Tell me about your
special date  Can I?"
"亜美もみかぴょんのムフフな体験談、
聞かせてほしいな～。んっふっふ～♪","","Ami Mimikapyon's muhfun experience,
I'd love to hear about it.......","","Ami wants to hear Mika-pyon's mufuu experiences, too. Mmheh hee ♪","Ami wants to hear Mika-pyon's
mufuu experiences, too. Mmheh hee ♪"
"べ、別にそんな体験ないし……
って、こ、こら！　二人とも調子に乗らないっ！","","I don't have that kind of experience. ......
Don't get carried away, both of you!","","I-I've never experienced anything like that before...
H-Hey! Don't get carried away, you two.",""
"それよりほら、さっさと行くよ～！
もたもたしてると、置いてっちゃうから！","","That's it, come on, let's get going~!
If you are too slow, I will leave you behind!","","Anyway, let's get going!
If you keep dawdling, I'll leave it behind!",""
"は～いっ！","","Yes~yes!","","Okay? I'll be right back!",""
"（その後もアトラクションに夢中になる３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of them were still engrossed in the attractions after that.
Glad to see you had a good time off!)","","(After that, the three of us get absorbed in our attraction.
I'm glad to see you had a fulfilling day off!)",""
"（今日はきらりの提案で、
アクセサリーを見に行くことになった……）","","(Today, at Kirari's suggestion,
(We're going to look at accessories: ......)","","(Today, we're going to go check out the accessories.)","(Today, we're going to go
check out the accessories.)"
"うっきゃー☆　きゃわいい物がいーっぱい♪
きらりん、どれがいいか迷っちゃうにぃ～","","Lots of cute things!
Kirarin, I can't decide which one I like better~!","","Ukyaa☆ There's so many cute things!♪
Kirarin, I'm not sure which one to choose...",""
"すごい、色んな種類があるのね。
私、あまり詳しくなくて……","","Wow, there are so many different kinds.
I don't know much about it. ......","","Wow, there's so many different kinds.
I don't know much about it...",""
"真美、超せくしーな感じのアクセがいい！
きらりん、真美にピッタリなの選んでよー！","","Mami, I like the super sesquicentennial look of the accoutrements!
Kirarin, choose something perfect for Mami!","","Mami, I want an accessory that feels super sexy!
Kirarin, choose something that's perfect for you!",""
"……この髪留め、未来に似合うかも。
こっちのは翼に……","","...... this hair clip might look good on the future.
This one is on the wing: ......","","...This hair clip might look good on the future.
This one's on the wings...",""
"所狭しと集められて……まるで宝石箱のようだ。
きらり、よければ私にも見繕ってもらえないだろうか","","They are gathered together in a narrow space ...... like a jewelry box.
Kirari, if you don't mind, could you look into it for me?","","They're all cramped together... like jewelry boxes.
Glittering. If you don't mind, could I get one for myself?",""
"きらりさん……
凛世に似合う、装飾を……是非……","","Kirari-san: ......
Please visit ...... for decorations that suit Rinze. ......","","Kirari-san...
I'd like... to make something that would look good on her.",""
"千早、どうしたんだい？
先ほどから、視線が落ち着かないようだけど","","Chihaya, what's wrong?
Your gaze seems unsettled from a moment ago.","","Chihaya, what's wrong?
You've been staring at me for a while now.",""
"実はその……
あまりこういったお店に来たことがなくて","","Actually, its ......
I haven't been to this kind of restaurant very often.","","Actually, um...
I've never been to a place like this very often.",""
"あの、諸星さんや白瀬さんは、
こういうお店によく来るの？","","Um, Mr. Morohoshi and Mr. Shirase,
Do you often come to these stores?","","Um, Moroboshi and Shirase-san. Do you come to places like this often?","Um, Moroboshi and Shirase-san. Do you
come to places like this often?"
"きらりんは、きゃわいいものがだーい好きだから、
時間があるときは、よく来るよぉ～♪","","Kirarin loves cute things,
I come here often when I have time....","","Kirarin loves cute things, so she comes here a lot when we have time.♪","Kirarin loves cute things, so she
comes here a lot when we have time.♪"
"私はきらりほどではないと思うけど、
たまにはね","","I don't think I'm as good as Kirari,
Once in a while.","","I don't think so, but sometimes.","I don't think so,
but sometimes."
"そう……なのね。
けど、私にはこういうのはあまり……","","So .......
But I don't have much of these things ......","","I... see.
But, I don't really have much experience with this kind of thing...",""
"そうだね……きらり、よかったら千早に似合う
アクセを二人で探してみないか？","","Yes, ...... Kirari, it would look good on Chihaya if you like.
Why don't we both look for an accessory?","","Let's see... Glittering, how about we look for an accessory that would suit Chihaya together?","Let's see... Glittering, how about we look for
an accessory that would suit Chihaya together?"
"えっ、白瀬さん？","","What, Mr. Shirase?","","Huh, Shirase-san?",""
"にゅふふ♪
咲耶ちゃん、りょーかい☆　びしぃ！","","â™ª
Sakuya, ryokai☆ bishii!","","Nyuhufu♪
Sakuya-chan, roger☆",""
"も、諸星さんまで……","","Also, please contact Mr. Morohoshi at ......","","You too, Moroboshi?",""
"今日は奥ゆかしい歌姫を華麗に着飾ってみせよう。
フフ、腕が鳴るね","","Today, let's dress up the profound diva in all her splendor.
Huh, your arm is ringing.","","Today, I'm going to dress up as a graceful diva.
Hehe, I'm excited.",""
"きらりんにばーっちりお任せ～♪
千早ちゃんをお姫様にしてあげゆ☆","","Leave it to Kirarin!
Make Chihaya-chan a princess.","","I'll leave it to you, Kirarin!♪
I'll make chihayachan a princess!☆",""
"ちょ、ちょっとふたりとも……","","Hey, hey you two. ......","","H-Hey, you two...",""
"（さしずめ、千早改造計画か……。千早も何だかんだ
楽しそうだったし、みんな楽しめてなによりだ）","","(For short, Chihaya remodeling plan? ....... Chihaya is something, too.
(It looked like fun, and I'm glad everyone had a good time.)","","(In any case, the Chihaya upgrade plan... I'm glad everyone was able to enjoy themselves. You all seemed like you were having a lot of fun with it too )","(In any case, the Chihaya upgrade plan... I'm glad everyone was able to
enjoy themselves. You all seemed like you were having a lot of fun with it too )"
"（今日は菜々の提案で、菜々の知り合いが働く
メイド喫茶に行くことになった……）","","(Today, at Nana's suggestion, a friend of Nana's works there.
(I'm going to a maid cafe: ......)","","(At Nana's suggestion, an acquaintance of mine is going to a maid cafe...)","(Today, at Nana's suggestion, we are going to a 
maid cafe where a friend of Nana's works...)"
"ウサミン☆　メイドツアーにお越しのみなさまっ！
お楽しみいただけてますか～♪　キャハッ☆","","Usamin☆ Dear maids on your maid tour!
Are you enjoying it?","","Ladies and gentlemen, please enjoy Usamin☆ maid tour!
I hope you're having fun~☆",""
"はい、菜々さん。メイド服って可愛いですよね。
……あの、私も、ちょっとだけ着てみたいです","","Yes, Nana, maid uniforms are cute, aren't they?
...... Um, I'd like to wear it for a bit, too!","","Yes, Nana-san. Maid uniforms are cute aren't they?
...Um, I'd like to try it on too.",""
"もえ……もえ……きゅん？　呪文で料理が
おいしくなる？　どういう理屈なのかしら","","Moe ...... Moe ...... kun? The spell is cooking.
Taste better? I don't understand the logic behind that.","Moe...moe...kyun? The spell makes the food tastier? 
I wonder what kind of logic behind that","Moe... moeeh, kyuuun? Using a spell to make the food taste better. I wonder what kind of logic that is!","Moe...moe...kyun? The spell makes the food tastier? 
I wonder what kind of logic behind that"
"とっても楽しいよ！　それに、ハートマークの
オムライスって、すっごく乙女って感じだよね♪","","It's a lot of fun! And the heart symbol.
Omelette rice is very maidenly, isn't it?","","It's really fun! And the heart-shaped omelet rice is so maidenly.♪","It's really fun! And the heart-shaped
omelet rice is so maidenly.♪"
"どの店員さんも楽しそうにメイドを演じている……
なんだかすごい世界ですね","","All the waitstaff seem to enjoy playing the maid: ......
It's kind of an amazing world.","","Every clerk seems to be enjoying playing the part of a maid...
It's kind of an amazing world.",""
"じゃんけんで勝ったら写真を撮ってもらえるんですね
わたしも挑戦してみようかな～♪","","If you win at Janken (rock-paper-scissors-scissors), you get your picture taken.
I'll give it a try too!","If you win rock-paper-scissors, you'll be able 
to take a picture of Makoto. Maybe I'll give it a try too~♪","If I win rock paper scissors, you'll take a picture of me? Maybe it would be fun to try out my hand.♪","If you win rock-paper-scissors, you'll be able 
to take a picture of Makoto. Maybe I'll give it a try too~♪"
"メイド喫茶……初めて来ましたけど、
本当にメイドの格好をしているんですね……","","I'm here for the first time at the maid cafe ......,
You really are dressed as a maid. ......","","This is your first time at a maid cafe, but you really are dressed as one...","This is your first time at a maid cafe,
but you really are dressed as one..."
"ねぇ、菜々。ここのお店って
菜々の知り合いのお店なんだよね？","","Hey, Nana, what kind of store is this?
You know Nana's friend at the restaurant, right?","","Hey, Nana. Isn't this a shop that you know?","Hey, Nana. Isn't this
a shop that you know?"
"そうですよ～。ナナの昔からの
メイド仲間が経営しているお店なんですっ！　","","That's right - from Nana's old days.
It's a store run by a fellow maid!","","That's right. It was run by Nana and her old maid friends!","That's right. It was run by
Nana and her old maid friends!"
"あのさ……ボク、メイド服着てみたいんだけど、
ダメかな……？","","You know, ...... I'd like to try on a maid outfit,
No? ......?","","Um... I want to try wearing a maid outfit. Is that okay?","Um... I want to try wearing
a maid outfit. Is that okay?"
"本当ですか？　うわぁ、全然オッケーですよ！　
真ちゃんのメイド姿、楽しみだなぁ～♪","","Really? Wow, that's totally ok!
I can't wait to see Ma-chan as a maid!","","Really? Wow, that's totally okay!
I can't wait to see Shin-chan in his maid outfit!♪",""
"そうだ！　せっかくだから静香ちゃんもどうですか？
静香ちゃんのメイド姿、絶対似合うと思います！","","That's right! Since we're at it, how about you, Shizuka?
I think Shizuka would definitely look good as a maid!","","Oh yeah! Since you're here, how about Shizuka-chan?
I'm sure Shizuka-chan will look great in her maid outfit!",""
"え、む、無理です！　メイド姿なんて
恥ずかし過ぎて……ぜ、絶対にダメです！！","","I can't wear a maid's uniform!
I'm too embarrassed to ......ze, absolutely not!","","I-I can't! It would be way too embarrassing to wear a maid outfit... N-No, absolutely not!!","I-I can't! It would be way too embarrassing to
wear a maid outfit... N-No, absolutely not!!"
"えー、静香ならいけてると思うんだけどな……
一緒に着ようよ！","","Eh, I think Shizuka could do it: ......
Let's wear it together!","","Eh, I think Shizuka would be able to do it...
Let's wear it together!",""
"ま、真さんまでっ！　ダメです！　ってもうっ、
そんな顔をしても、絶対に着ませんから！","","No, you can't!
I would never wear a face like that!","","Y-You too, Shin?! You can't do that!! Oh geez. Even if you make a face like this I will never wear it again","Y-You too, Shin?! You can't do that!! Oh geez. Even if
you make a face like this I will never wear it again"
"（その後もメイド服を着せようとする菜々と真。
それに抵抗する静香。……何事も経験だな、うん）","","(Nana and Makoto try to dress her in a maid's outfit afterwards.
Shizuka resists it. ...... Everything is an experience, yes)","","(After that, Nanaka and Mami continue trying to make her wear maid uniforms.
Shizuka resists. ...It'll be an experience for her, I guess?)",""
"（今日は未来の提案で、
カラオケに行くことになった……）","","(Today with a future proposal,
(We're going to karaoke: ......)","","(Today, I'm going to go karaoke with a suggestion from the future...)","(Today, I'm going to go karaoke with
a suggestion from the future...)"
"みんなでいっぱい歌って、
たくさんたーっくさん盛り上がりましょう！","","Sing a lot together,
Let's have lots and lots of fun!","","Let's sing a lot and have lots of fun!","Let's sing a lot
and have lots of fun!"
"うん！
ねぇ、未来ちゃん。よかったら一緒に歌おうよ！","","Yeah!
Hey, Mirai, let's sing together if you like!","","Yeah!
Hey, Mirai-chan. Why don't we sing together?",""
"そうね……たまには私も
なにも考えないで全力で歌っちゃおうかしら","","You're right. ...... sometimes I do.
I might as well just sing as fast as I can without thinking about anything else.","","That's true... Sometimes, I think it would be best to sing with all my might without thinking about anything else.","That's true... Sometimes, I think it would be best to sing
with all my might without thinking about anything else."
"よーし！　バリバリ歌うぞ！
せっかくだから、他の事務所の歌を歌おうかな？","","All right, let's sing hard!
Since we're here, let's sing a song from another office.","","All right! Let's sing our hearts out.
Since we're here, maybe I should sing a song from another agency?",""
"さて、と。杏は何を歌おうかな……。
……よし、きらりの歌にしようっと……","","Well, and. what shall we sing apricot. ......
...... Okay, let's make it Kirari's song: ......","","Now then, what should Anzu sing...?
...Okay, I'll sing a song that sparkles...",""
"メルヘンチェンジで華麗に変身！　今日のナナは、
プリティーシンガー☆ウサミンですっ♪　キャハッ☆","","Nana today is a gorgeous transformation with a fairy tale change,
I'm Usamin, the Pretty Singer.","","I'll transform into something gorgeous with a fairy tale change! Today, Nana will be Pretty Singer☆Usamine♪☆","I'll transform into something gorgeous with a fairy tale
change! Today, Nana will be Pretty Singer☆Usamine♪☆"
"そうだね、未来ちゃん。
さて、と……何を歌おうかな？","","That's right, Mirai.
Well, and ...... what shall we sing?","","Right, Mirai-chan?
Now then... What should I sing?",""
"春香さん、春香さん！
よかったら、デュエットしましょうよ！","","Haruka, Haruka!
If you want, we can do a duet!","","Haruka-san!
If you like, let's duet!",""
"うん、いいよ！
それじゃ、ふたりとも知っている曲は、と……","","Yeah, okay!
So what songs do you both know, and ......","","Sure, go ahead!
Well then, let's see what song we both know...",""
"ふたりとも、デュエットもいいけど、
せっかくだから、採点で勝負しようよ！","","Both of you, duets are good,
Since we're here, let's play at scoring!","","You two can duet, but since we're here anyways... Let us have a score match!","You two can duet, but since we're here
anyways... Let us have a score match!"
"採点で勝負、ですか？","","Compete in scoring, is that right?","","A grading match?",""
"うん！　普段のレッスンの成果を確認できる
絶好の機会だし、その方が盛り上がるよね！","","Yes! You can check the results of your regular lessons.
It's a perfect opportunity, and it's more exciting that way!","","Yeah! This is the perfect opportunity to see how our lessons turn out, so it'll be even more exciting that way.","Yeah! This is the perfect opportunity to see how our
lessons turn out, so it'll be even more exciting that way."
"ええ、でも真。
私、うまく歌えるか自信ないよ","","Yes, but true.
I'm not sure I can sing well.","","Yes, but it's true.
I'm not sure if you can sing well.",""
"わ、私もですっ！　……そうだ！
真さんがお手本を見せてくださいっ！","","Wow, me too! ...... Yes, that's right!
Please show us your example, Mr. Makoto!","","M-Me too! ...That's right.
Makoto-san, please show me how it's done!",""
"え、ボク？
そうだね。ボクから言い出したことだし、いいよ！","","Oh, me?
Yes, it was my idea, and it's fine!","","Huh, me?
That's right. I was the one who suggested it, so whatever!",""
"わーい♪　よろしくお願いしまーす！","","Yay♪ Nice to meet you!","","Yaaay! ♪ I'm counting on you, everyone~",""
"けど、ボクの後は春香と未来だからね。
よーし、どれにしようかな……","","But after me, it's Haruka and Mirai.
Okay, which one should I choose: ......","","But Haruka and I are going to be together in the future.
Okay, which one should I pick...?",""
"あ、そうだった……。
は、春香さん、がんばりましょう！","","Oh, that's right. .......
Ha, Haruka, let's do our best!","","Ah, that's right...
L-Let's do our best, Haruka!",""
"うん、そうだね。……あ、未来ちゃん。
デュエットは、勝負が終わってからにしよっか","","Yeah, that's right. ...... Oh, Mirai.
Let's wait for the duet until after the game is over.","","Yeah, you're right. ...Ah...Mirai-chan?
Let's save the duet for after this match.",""
"はいっ、わかりました！
私も歌う曲を考えないと……！","","Yes, I understand!
I need to think of a song to sing too. ......","","Okay, got it!
I need to think of a song for her, too!",""
"（その後もカラオケは大盛り上がり。３人とも
充実したオフを過ごしたようでなによりだ！）","","(Karaoke was a blast after that...all three of us!
Glad to see you had a good time off!)","","(After that, the karaoke was a blast. I'm glad to see all three of you had an enjoyable day off!)","(After that, the karaoke was a blast. I'm glad to
see all three of you had an enjoyable day off!)"
"（今日は静香の提案で、
室内で出来るスポーツをすることになった……）","","(Today was Shizuka's suggestion,
(I'm supposed to play a sport that I can do indoors: ......)","","(At Shizuka's suggestion, we decided to play some indoor sports...)","(At Shizuka's suggestion, we
decided to play some indoor sports...)"
"とりあえず、街には来てみましたが、
みなさんは何かやりたいものはありますか？","","At any rate, I came to town,
Is there anything you all would like to do?","","Anyway, I've come to the city. Is there anything you want?","Anyway, I've come to the city.
Is there anything you want?"
"静香さんって、テニスが得意なんですよね。
よかったら、教えてもらってもいいですか？","","Shizuka, you are very good at tennis, aren't you?
If you like, I can let you know.","","Shizuka-san is good at tennis, isn't she?
If you don't mind, could I ask what it is?",""
"静香、自分は卓球がやりたいぞ！
自分の実力を見せてやるさー","","Shizuka, I want to play table tennis myself!
I'll show you what I can do!","","Shizuka, I want to play table tennis!
I'll show you what it can do.",""
"きらり、この前ゲームセンターで杏ちゃんが
やってたホッケーがやってみたいにぃ♪","","Kirari, the other day at the arcade, Anzu was
I want to play hockey like I used to play hockey.","","Glittering, just like the hockey Anzu-chan played at that arcade before.♪","Glittering, just like the hockey Anzu-chan
played at that arcade before.♪"
"静香ちゃん、ダーツとか面白そうじゃない？
甘奈、一度やってみたかったんだー☆","","Shizuka, don't you think darts would be fun?
Amana, I wanted to try it once.","","Shizuka-chan, isn't darts interesting?
Amana, I've always wanted to try it-☆",""
"あ、あうう……甜花は……
あ……ガンシューティングなら……！","","Oh, ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ...... beet flowers are ......
Oh ...... for ...... gunshots!","","A-Auugh... Where's Tenka?
Ah... If it's gun shooting, I can do that!",""
"それなら自分、卓球がやりたいぞ！
静香と甜花は、やったことある？","","Then I'd like to play ping-pong myself!
Have you ever done Shizuka and Tetuka?","","If that's the case, I want to play table tennis!
Have Shizuka and Tenka ever done it?",""
"う、うーん……？
ちゃんとしたルールは……あんまり……","","Ummm...ummm.........?
The proper rules are ...... not much ......","","H-Hmm...?
There aren't really any proper rules...",""
"私も卓球は未経験ですね。
すぐに覚えられるものなんでしょうか？","","I have no experience with table tennis either.
Is it something that can be learned quickly?","","I've never played table tennis before either.
Is it something that you can learn quickly?",""
"卓球はそんなに難しくないぞ。
ちょっと練習すればすぐにできるようになるさー","","Table tennis isn't that hard.
With a little practice, you'll be able to do it in no time.","","Table tennis isn't that hard.
With a little practice, you'll be able to do it soon.",""
"それに自分、卓球部の部長だったから、
ふたりにしっかり教えてあげるぞ！","","Besides, I was the head of the table tennis club,
I'm going to teach you both a lesson, and I'm going to teach you well!","","Besides, I was the president of a table tennis club. Let's teach them!","Besides, I was the president of a table
tennis club. Let's teach them!"
"部長さん……すごい……","","Mr. Director ...... amazing ......","","You're...amazing.",""
