"（仕事終わり、未来にルミナスについて
聞いてみることにした……）","","(After work, about luminous in the future)
(I decided to ask: ......)","","(After work, I decided to ask
Luminous about the future...)"
"うん。あ、でももう１個のほうは少しだけだから、
コレを片付けちゃえばわりとすぐだよ！","","Yeah, but the other one is just a little bit,
It'll be rather soon once we get this one out of the way!","","Yeah. Oh, but the other one's only for a little bit! It should be
easy once you put it away and get back to your room in no time at all!!"
"……静香ちゃん、ありがとう","","Thank you, ...... Shizuka!","","...Shizuka-chan, thank you."
"未来が頑張っているのは、分かっているから……。
宿題を終わらせたら、レッスンしたいんでしょ？","","We know the future is working hard. ......
You want a lesson when you finish your homework, don't you?","","I know the future is trying its best...
When you're done with your homework, do I need to take lessons?"
"……っ！　うん！
静香ちゃん、静香ちゃ～ん！","","......!
Shizuka-chan, Shizuka-chan~!","","...! Yes.
Shizuka-chan!"
"ちょ、ちょっと未来、
抱きつこうとしなくていいから！　もう……","","Wait, a little future,
You don't have to try to hug me anymore ......","","W-Wait, Mirai! You don't have
to hug me like that. Geez..."
"ほら、いいから早く終わらせるわよ。
いい、まずこの問題はね、ここをこうして……","","Come on, just get it over with.
Okay, first of all, this issue, here's how it works: ......","","Come on, let's just get this over with.
Look, the first problem is this..."
"うん！　うん？　う～ん？
……………………………………全然分からない！","","Hm! Hm?
.......................................... I have no idea!","","Yeah! Hm? Uh-huuunnngggg.
... I don't get it at all!"
"もう少し頑張りなさいよ！","","Try a little harder!","","Hang in there a little longer!"
"（静香も、未来の頑張りは認めてくれている
みたいだな）","","(Shizuka, too, recognizes the future's efforts.
(Sounds like...)","","(It looks like Shizuka approves
of my hard work in the future.)"
"（あとは未来がなにを掴むか……だな）","","(Now it's up to ...... to see what the future holds)","","(Now all that's left is to see what the future holds.)"
"（仕事を頑張っているご褒美に、
未来をカフェに連れてきたけど……）","","(As a reward for working hard,
(I brought the future to the cafe, but ......)","","(I brought Mirai to the cafe as a
reward for her hard work, but...)"
"うーん……","","","","Hmm..."
"（大好きな生クリームたっぷりのケーキを前にして
いるのに、何だか浮かない顔をしているな……）","","(In front of my favorite cream-filled cake.
You're there, but you're looking kind of buoyant. ......)","","(Even though she's standing in front of her favorite cake with a heaping
helping of cream on it, there seems to be something off about that expression...)"
"未来、なにか……たとえば、学校の試験のことで
悩んでいるのか？","","Future, something ...... about school exams, for example.
Are you worried?","","Is there something in the future that's
bothering you about your school exam, for example?"
"違いますよ～。前に、プロデューサーさんに
言われたこと、考えてたんです","","No, it's not! I've told Producer before.
I was thinking about what you said.","","That's not it. I was thinking about
what Producer told me before..."
"トップアイドルになった、
その先って何なのかな～って……","","He became a top idol,
I wonder what's beyond that. ......","","I was just wondering what it'd be
like to become a top-class idol..."
"プロデューサーさんが言ってくれたこと、
なんとなくは分かるんですよ……","","What Producer said,
I kind of get it. ......","","I can kind of understand
what Producer said..."
"でも……どんなに考えても、私、トップアイドルの
その先が思い浮かばなくって……！","","But ...... no matter how much I think about it, I'm a top idol.
I couldn't think of anything beyond that. ......","","But... No matter how much I think about it,
nothing comes to mind beyond being a top idol!"
"それで……私、ずっと考えてたら、
最近、頭の中がずっとぐるぐるしてるんです～！","","So ...... me, if I kept thinking about it,
My head has been spinning all the time lately!","","And... I've been thinking about it for a long time,
and lately my head has just kept spinning!"
"あの、私……どうしたら、
ちゃんと目標のその先が見つかりますか？","","Um, what should I ...... do,
Can you properly find that destination of your goal?","","Um... How can I
find my goal?"
"未来なりに真剣に考えたんだな。
そういう時は、色々と勉強してみるといいよ","","You took it seriously in your own future way.
When you're in that situation, you're going to learn a lot.","","She's thinking seriously about it in her own way.
At times like that, you should try to learn a lot."
"勉強？　うーん、勉強って、学校の勉強
みたいに頭に詰め込む感じですか……？","","Studying? Um, studying... schoolwork.
Do you feel like stuffing it in your head like ......?","","Studying? Hmm, studying is like
cram school stuff in your head..."
"いや、この場合の勉強は、
頭に詰め込むのとは少し違うんだ","","No, the study in this case is,
It's a little different than cramming it into your head.","","No, in this case studying is a little
different from cramming it into your head."
"違う？　どんな勉強なんですか？","","No? What kind of study?","","No? What kind of studying are you doing here, Mr. Wright?"
"そうだなぁ。
たとえばここを使う勉強とか……","","I guess so.
For example, a study that uses here: ......","","That's right.
Like studying here, for example..."
"腕","","arm","","Arm."
"頭","","head","","Kashira"
"その他（腕・頭以外）","","Other (other than arms and head)","","Others(Except for the arms and head.)"
"時間切れ","","time-out","","Time up"
"次の勉強は腕を使うんですか！？
何だろう……習字とか？","","You're going to use your arm for your next study!
What's that, ...... like calligraphy?","","Are you going to use your arms for the next study session!?
I wonder what it is... Maybe calligraphy?"
"いや、まあ習字でもいいけど、勉強にも色々あって、
身体を使うものもあるぞ。ダンスとかな","","No, well, it could be calligraphy, but there are many ways to study,
Some of them are physical, like dancing.","","Well, I don't mind if you do it in calligraphy. But there are a lot of things
to study and use your body for as well—like dancing or something like that"
"ダンスの勉強？　レッスンのことですか？","","Studying dance? You mean lessons?","","Studying dance? You mean the lessons."
"レッスンもだけど、新しい経験や刺激があれば、
他の答えが見えてくることがあるんだ","","Lessons, too, but with new experiences and stimulation,
Sometimes I see other answers.","","Lessons, new experiences and stimulation
can give you other answers."
"頭？　あ、やっぱり頭を使って
勉強するってことですか？","","Head? Oh, I knew it. Use your head.
Does that mean you're going to study?","","Your head? Oh, so you're going to use
your brain for studying after all."
"頭に詰め込むような勉強じゃなく、頭の中で自由に
想像を膨らませるような勉強もあるってことだ","","Not the kind of study that crams into your head, but the kind of study that leaves you free to be in your head.
It means there's some study that's going to stretch your imagination.","","It's not like you have to cram it into your head, but
there are things that make the imagination run wild."
"自由に想像をふくらませるような勉強……？
それって……ううーん、よく分かりません！","","Study ...... to let your imagination run free?
Is that ...... ummm, I'm not sure!","","Studying to make your imagination run wild...?
Hmm... I don't really get it!"
"たとえば、歌詞から想像して、自分なりの物語を
考えてみたりすることかな。でもそれだけじゃない","","For example, you can imagine your own story from the lyrics
But that's not all.","","For example, imagine the lyrics and come up
with your own story. But that's not all..."
"ぷ、プロデューサーさん、そこがなにか、
勉強に関係あるんですか～！？","","Psst, producer, that's something,
What does this have to do with studying~!","","D-Does that have anything
to do with your studies?!"
"驚かせてすまん、ただ頭で考えてばっかりじゃなく
未来の気持ちを大事にしてほしくて……","","Sorry to burst your bubble, but it's not all in your head.
I wanted to make sure you cherish your future feelings: ......","","Sorry to surprise you. I'm not just thinking
about it, but my future feelings are important..."
"気持ち？　私の気持ちですか……","","Feelings? My feelings? ......","","Feelings? My feelings..."
"あの……それで、どんな勉強なんですか？
ノーヒントはちょっと難しいです……","","That ...... So, what kind of study is it?
No hints are a bit hard to find: ......","","Um... So, what are you studying?
No hints are going to be difficult..."
"あ！　もしかして、この沈黙の理由とかを
考えてみるような勉強ってことですか！？","","Oh! Perhaps you can give me a reason for this silence or something.
You mean the kind of study that makes you think!","","Ah! Could it be that you're trying to
figure out the reason for this silence?"
"え！？　いや、悪い、そうじゃなくて、
どう伝えようかとちょっと考えてただけなんだ","","What? No, sorry, I didn't mean that,
I was just trying to figure out how to tell you this.","","Huh?! Sorry, that's not it. I was
just thinking about what to say..."
"たとえば、頭じゃなくて、レッスンで体をつかって
みるとかな。もちろん、他にも色々あるぞ","","For example, you can use your body in the lesson, not your head.
Of course, there are many more.","","For example, you could try using your body for lessons instead of
just thinking about it. Of course there's a lot more to go around too!"
"普段見ないような映画を見たり、ゲームをしたり、
いつもと違う道を通ってみるのもいいな","","We watch movies and play games that we wouldn't normally watch,
It's nice to take a different road.","","It'd be nice to watch movies, play games
and take a different route than usual."
"いろんなものに触れて、引き出しを増やすんだ。
それが未来にとって、いい勉強になると思う","","You have to be exposed to all kinds of things, and you have to increase your drawers.
I think that would be a good learning experience for the future.","","I'm going to touch a lot of things and draw more.
I think that's a good lesson for the future."
"映画や、ゲーム……そういうのも、勉強で
いいんですか？　それなら私もできそうです！","","Movies, games ......, that kind of thing, and studying.
Are you sure? Then I think I can do it too!","","Movies and games... Is that okay
to study? Then I can do it too!"
"よかったー！　私、考え過ぎちゃってたのかな？
もっといろんなものに触れて、刺激をもらいます！","","I guess I was overthinking it.
I will be exposed to more things and get stimulated!","","Thank goodness! Am I overthinking it?
I'm going to touch a lot more things, and get some stimulation!"
"ドキドキしたり、わくわくしたりするものに触れて、
それが私の勉強になるってことですよね？","","Touch something exciting and thrilling,
So that's what I'm learning, right?","","You're saying that touching something exciting and thrilling
is a good way to learn more about me, right?"
"ああ、そうだな。今の未来はたくさん、
いろんな経験をすることが大切だと思うぞ","","Oh, yes, lots of future now,
You know, I think it's important to have a lot of different experiences.","","Yeah, you're right. I think it would be important to
have lots of different experiences in the future as well"
"はい！　勉強って、すっごく楽しそうですね！
たくさん勉強をして、刺激をもらったら……","","Yes! Studying sounds like a lot of fun!
If you learn a lot and get inspired ......","","Yes! Studying sounds like a lot of fun, doesn't it?
If I study a lot and get some inspiration..."
"私なりにその先を考えてみます！
プロデューサーさん、ありがとうございます！","","I will try to think beyond that in my own way!
Thank you, producer!","","I'll think about what comes after that!
Thank you so much, producer!"
"ああ、伝わったなら良かったよ","","Yeah, I'm glad you got the message.","","Yeah, I'm glad you got through to him."
"あ～、ほっとしたらお腹すいちゃった！
でへへ、生クリームたくさんのケーキ食べるぞー！","","Oh, I'm so relieved, I'm hungry!
I'm going to eat a cake with lots of whipped cream!","","Ahh, now I'm hungry!
Heheh, I'm gonna eat lots of cream cakes!"
"うん！　おいしい！　手が止まらないよ～！
プロデューサーさん、ケーキ、おいしいです～！","","Yum! Delicious! I can't stop my hands!
Producer, the cake is delicious!","","This is great! I can't stop my hands from moving.
The cake is delicious, Mr. Producer!"
"（切り替えが早いな……でもそれが未来の良さだ。
元気が出て未来らしさが戻って、良かった！）","","(You're switching so fast ...... but that's the beauty of the future.
(I'm glad you're feeling better and your future-ness is back!)","","(She's quick on the uptake... But that is what makes her a better future.)
(I'm so glad that I can cheer up and return to my future self!)"
"（未来との仕事帰り、繁華街を歩いている）","","(Walking downtown after work with the future)","","(I'm walking downtown on my way home from work with Mirai.)"
"あ！　占いの人ですよ、プロデューサーさん！
なにか占ってもらいませんか？","","Ah! It's the fortune teller, Mr. Producer!
Would you like to have something read?","","Oh, it's the fortune-teller!
Would you like to have your fortune told?"
"ああ、易者さんだな。
未来は、占いが好きなのか？","","Ah, the Easier Way.
Does the future like fortune-telling?","","Ah, you're easygoing.
Do you like fortune-telling in the future?"
"はい、好きです！　あんまり信じてるわけじゃ
ないんですけど、面白いなって！","","Yes, I like it! I don't really believe in it.
I don't have one, but I thought it was interesting!","","Yes, I like it! It's not that much of a
stretch to believe you guys are friends."
"ちょっとわくわくするから聞いてみたいんですけど、
いいですか？","","I'd like to ask because I'm kind of excited,
May I?","","I'm a little excited, so
maybe you could help me out?"
"そうだな、じゃあ占ってもらってみるか。
なにを占ってもらうんだ？","","Right, well, let's see if we can get it read.
What are you getting read?","","Yeah, let's have her read my fortune.
What kind of fortune-telling is she going to do for me?"
"う～ん……ルミナスのこと？
でも静香ちゃんや翼とのことも気になるし……","","Ummm...you mean ...... luminous?
But I'm also concerned about what happened with Shizuka and Tsubasa: ......","","Hmm... You mean Luminous?
But I'm also worried about Shizuka-chan and Tsubasa..."
"あっ、それに、紬ちゃんと歌織さんのことも
聞いてみたいです！　どうすればいいんでしょう……","","Oh, and about Tsumugi and Kaori.
I'd love to hear! How can I help: ......","","Oh, and I want to ask Tsumugi-chan
about you two too! What should we do...?"
"自分のことについて、占ってもらったらどうだ？
悩んでいただろ？","","Why don't you get your fortune read about yourself?
You were worried, weren't you?","","Why don't you have your fortune told about yourself?
You were worried, right?"
"う～ん……。私のその先は、
自分で考えたいので、大丈夫です！","","Hmmm............my beyond,
I want to think for myself, so I'm fine!","","Hmm... I want to figure out what
happens next for myself, so it's fine!"
"だからどうせなら、もっと別のことを
占ってもらおうかなって！","","So, anyway, we're going to do something else more.
I was wondering if I could have my fortune told!","","So I thought maybe you
could tell me something else!"
"そうか、未来はしっかり考えているんだな","","Okay, so you've got the future well in mind.","","I see, so you're thinking about the future."
"でへへ♪　それじゃ、なにを占ってもらおうかな～。
私が占ってもらうとしたら……何でしょう？","","Well then, what shall I have my fortune read?
If I were to have my fortune read, what would it be ......?","","Heheh! ♪ Well then, what should I ask for?
If I were to have my fortune read... what would it be?"
"そうだな……アイドルの目標を自分で考えるなら、
未来が占ってもらうのは……","","Yes, if you think of your own goals for ...... idols,
The future will be read at ......","","Let's see... If you want to think about what an idol wants for herself,
then having her future read is a bit much in the way of-"
"（最近未来は頑張っているし、
ここは少し気晴らしになるように……）","","(And the future has been working hard lately,
(......) for a little distraction here.","","(I've been working hard in the future, so I thought
it might be a good way to take my mind off things.)"
"お金持ちになる方法","","How to get rich","","How to Be Rich"
"ふたりの相性","","compatibility between two people","","The compatibility of the two"
"ルミナスの今後","","The Future of Luminous","","Future of Luminous"
"もちろん、お金持ちになる方法を聞こう！
未来やみんな、俺もお金持ちになる方法を探すんだ","","Of course, let's hear how to get rich!
The future, guys, I'm going to find a way to get rich too.","","Of course! Let's hear how you get rich quick, shall we?
I'm looking for a way to make me rich."
"お金持ちになる方法！？","","How to get rich!","","How to be rich!?"
"ああ、お金持ちになったら、みんなでリゾート合宿を
するんだ！　もちろん社長もみんな一緒だぞ！","","Oh, when we get rich, we'll all have a resort camp.
Of course, the president is with all of us!","","Yeah, once we're rich enough to go on a vacation
campout with everyone! The president is coming too of course."
"わあ、楽しそう！　イイですね♪　じゃあ……
宝くじの当たりの番号とか、占ってもらいますか！？","","Wow, looks like fun!
Would you like to have your fortune read, like the winning lottery numbers!","","Wow, that sounds like fun! That's great♪ Then...
Do you want me to read your winning lottery numbers!?"
"ははは、具体的な要望だな","","Haha, that's a very specific request.","","Haha, that's a very specific request."
"はい！　プロデューサーさん、一緒に一発千金を
当てて、みんなで楽しいリゾート合宿をしましょう！","","Yes! Producers, we can make a fortune together.
Let's win and have a fun resort camp for everyone!","","Okay! Let's hit the jackpot and have a
fun resort campout together, producer."
"それを言うなら一攫千金だな","","I'd say that's a get-rich-quick scheme.","","That's a lot of money."
"俺と未来、ふたりの相性とか、かな？","","Is it about the chemistry between me and the future, or something else?","","Maybe it's something about me and Mirai being compatible?"
"え！？　わ、私との相性ですか？
そんなの占うまでもないと思うんですけど……","","What? Wow, is it a match with me?
I don't think I need to divine that. ......","","Huh!? Y-You're compatible with me.
I don't think you need to divine that..."
"あ！　もしかして、プロデューサーさん的には、
そうでもないんでしょうか！？","","Ah! Perhaps, from Producer's point of view,
I'm not so sure!","","Oh! Maybe Producer
doesn't think so, either?"
"い、いや、相性バッチリだ！　無敵のタッグだぞ！
それなら……お金持ちになる方法を聞こう！","","No, no, they're perfect for each other! They're an unbeatable tag team!
Then let's ask ...... how to get rich!","","N-No, we're perfectly compatible! The tag team is invincible.
Then... I'll ask you how to become rich!"
"それです！　みんなでお金持ちになりましょう！！","","That's it, let's all get rich!","","That's it! Let us all be rich!!"
"ルミナスの今後、とかかな？","","The future of Luminous, maybe?","","What about Luminous' future?"
"ルミナスの今後は、占いに頼るんじゃなくて、
プロデューサーさんと、私達で考えたいです！","","Don't rely on fortune-telling for the future of Luminous,
I would like to think about this with Producer and us!","","I want to think about Luminous' future with the
producer instead of relying on fortune-telling!"
"その方が、絶対楽しいですよ！","","It's definitely more fun that way!","","I'm sure it would be more fun that way!"
"そ、そうだな、未来の言うとおりだ。
それなら……お金持ちになる方法とかかな……？","","Yes, yes, the future is right.
Then maybe ...... how to get rich ......?","","Y-Yeah, it's just like the future says.
In that case... how to become rich, maybe?"
"そうですね、みんなでお金持ちになって、
一緒にどこかにお出かけしたりしましょう","","Yes, we all get rich,
Let's go out somewhere together!","","Yeah, let's all get rich and
go out somewhere together."
"それじゃあ、お金持ちになるために……
宝くじの当たり番号を聞いてきましょう！","","Well then, to be rich: ......
Go ask for the winning lottery numbers!","","Then, in order to become rich...
Let's go ask for the winning lottery numbers!"
"ま、待て待て！？
本当にそれでいくのか！？","","Wait, wait, wait!
You're really going with that!","","W-Wait, wait!
Are you really going with that!?"
"はいっ！　目指しましょう、アメリカンドリーム！
私も夢を見たいです！","","Yes! Let's aim for the American dream!
I want to dream too!","","Okay! Let's aim for the American dream.
I want to dream too!"
"アメリカンドリームじゃないだろう！？　いやしかし
未来がそんなに言うなら……よし、占ってもらおう！","","It's not the American dream, is it! No, but...
If the future says so much ...... okay, let's have it read!","","This isn't an American dream, is it?! But if the future
says so much... Okay. Let me see your fortune-telling then!!"
"やったー！　じゃあ行きましょう！","","Yay! Let's go then!","","Yay! Let's go, then."
"その先は占いに頼らず自分で見つけたいけど、
アメリカンドリームは占いで引き当てましょう！","","Beyond that, though, I'd like to find out for myself without relying on fortune-telling,
Let fortune-telling draw you to the American Dream!","","I want to find the American dream
myself, not rely on fortune-telling!"
"しっかりしているというか、
ちゃっかりしているというか……未来は面白いな","","I mean, it's solid,
It's funny how chummy or ...... future is.","","I don't know if I should call it 'reliable,'
but... the future is pretty interesting to watch."
"（未来は自分自身でその先を見つけようと
している……俺もしっかりサポートしないと！）","","(The future will find its own destination.
(I'm doing ...... I've got to make sure I support you too!)","","(He's trying to find the future on
his own... I need my support!)"
"（未来と次の仕事に向かっている途中だが……）","","(I'm on my way to the future and my next job. ......)","","(I'm on my way to work for the future, but...)"
"プロデューサーさーん！　元気ですかー？
お天気がいいですね、お散歩日和ですね！","","Hey producer! How are you?
The weather is beautiful, it's a great day for a walk!","","Hey, Mr. Producer! How're you doing?
The weather's so nice today! What a perfect day to go for walk."
"それからそれから、えーっとえーっと……
本日はおヒガラもよいですね？","","And then there's, um, um, ......
Is it good to have a higara today?","","Then, and then...
I hope you'll have a nice pair of wings today."
"どうしたんだ未来、テンション高いな。
次の仕事が楽しみなのか？","","What's the matter, future, you're so excited.
Are you looking forward to your next job?","","What's wrong? You seem pretty excited about this.
Are you looking forward to your next job?"
"それもあるんですけど、今日はちょっと……
プロデューサーさんに相談があるんです！","","That's part of it, but today I'm a little ......
I need to talk to Producer!","","That's part of it, but today is a little...
I have something to discuss with Producer!"
"相談？　どうしたんだ？","","Consultation? What's going on?","","Talk to me? What's the matter with you."
"あの、最近その先のヒントがなくて、なにか
違ったことがしてみたいなーって思ってるんです","","Um, I haven't had a hint of what's beyond that lately, so I was wondering if you could give me something.
I'd like to do something different.","","Um, I haven't had any hints about what to do after that lately. It
just feels like something different is going on with me right now"
"それでプロデューサーさんに、いつもとちょっと違う
お仕事とか……お願いできないかなって！","","So I asked Producer for something a little different than usual.
I was wondering if I could ask you for a job or ......!","","So, I was wondering if you could do something a
little different from usual for Producer!"
"どんなお仕事がいいかって聞かれちゃうと、
私もちょっと、思い浮かばないんですけど……","","You ask me what kind of work I would like to do,
I'm kind of having trouble coming up with one, too: ......","","I can't really think of anything good to do either, if you
ask me what kinda work I should be doing right now..."
"たとえば、歌とダンス以外のお仕事とか……。
どうですか、プロデューサーさん","","For example, work outside of singing and dancing. ......
What do you think, producer?","","For example, something other than singing and dancing...
What do you think, producer?"
"（いつもとちょっと違う仕事か……どうせなら未来の
視野を広げるキッカケになるような仕事がいいな）","","(A slightly different job than usual or ...... in the future anyway.
(I'd love a job that would give me a kick-start to broaden my horizons)","","(A job that's a little different from usual, huh...? I hope
it gives me the opportunity to expand my vision of future.)"
"それなら、こんな仕事はどうだ……？","","Then how about a job like this: ......?","","Then, how about this job...?"
"クイズ番組","","quiz show","","Quiz television series"
"お笑い番組","","comic show","","Comedic television series"
"ＴＶのクイズ番組とか挑戦してみないか？
せっかく勉強を頑張ろうとしているんだしな！","","How about a TV quiz show or a challenge?
And I'm trying to study hard!","","Why don't we try a TV quiz show?
I'm trying my best to study, after all!"
"クイズ番組！？
わ、私、クイズに答えられる気がしませんよ～！","","Quiz show!
Wow, I don't think I can answer the quiz!","","Quiz show!?
I-I don't feel like answering a quiz!"
"あれって、静香ちゃんとか頭がいい人が出る
番組じゃないですか～！？　","","That would be Shizuka and other smart people.
Isn't this a program~!","","Isn't that the show where
Shizuka-chan and other smart people appear?!"
"だからこそ、挑戦してみよう！
ちょっとした目標がある方が、勉強も頑張れるだろ？","","So let's give it a try!
A little goal would make you study harder, right?","","So let's give it a try!
It's easier to study if you have a goal, right?"
"それに、未来が頑張って考えて答える姿は、
きっと見ている人を明るくさせるぞ","","Besides, the way the future thinks hard and answers,
It will surely brighten up anyone who sees it.","","And I'm sure the way you answer after thinking about
it for a long time will brighten up those watching."
"ちょっとした目標……。
私が考えて答える姿が……誰かを明るくさせる？","","A little goal .......
Does the sight of me thinking and answering brighten ...... someone's day?","","A little goal...
Seeing me think about it and answer... brightens someone up?"
"なるほど！　私、全然思いつかなかったです！
やっぱりプロデューサーさんはすごいなぁ","","I see! I had no idea!
I knew Producer was great.","","Oh, I see! That's why it never occurred to me.
Producer really is amazing."
"ＴＶのお笑い番組はどうだ？　未来のこれからを
考えるのに、いい刺激になると思うぞ！","","How about a comedy show on TV? The future of the future.
I think you'll find it's a good stimulus to think about!","","How about a comedy show on TV? It'll
help you think of the future!"
"お笑い番組ですか？
確かに今までのお仕事と違いますけど……","","Is it a comedy show?
It's certainly different from the work you've done before, but ......","","Is this a comedy show?
It's certainly different from the work you have been doing until now, but..."
"以前、未来に話しただろう？　いろんなものに刺激を
受けたほうがいいって。お笑いもその1つだ！","","I told you before, in the future, that all kinds of things inspire me.
Comedy is one of them!","","Remember what I told you in the future? That it's better to be
inspired by different things. Comedic games are one of them!"
"なるほど！　じゃあコンビの相方を見つけないと
ですね！　誰がいいだろう……杏さんとか？","","I see! Then we need to find a partner for the duo.
Who would be a good choice: ...... apricot?","","I see! Then we'll have to find a partner for the two of us,
right? Who should it be... Anzu-san or something like that."
"杏と！？　杏と未来のコンビか……。
それは、ちょっと……面白そうだな……","","With Anne! So it's a combination of Anne and the future. ......
That sounds kinda ...... interesting ......","","Anzu!? The future pair with her, huh...
That sounds... interesting."
"はい！　こうなったら私、お笑い番組でコンビを
組んで、トップ漫才師を目指します！！","","If this happens, I'll join a comedy duo on a comedy show.
We will team up to become a top comic storyteller!","","Okay! I'm going to make a comedy duo
and become the best stand-up comedian!!"
"ま、待て待て、目標が変わっているぞ！　お笑いは
一旦置いといて、それなら……クイズ番組はどうだ？","","Well, wait, wait, wait, your target has changed! Comedy is
Putting that aside for the moment, how about a ...... quiz show then?","","W-wait, wait! The goal's changed. Let me put the
comedy aside for a moment and... how about that quiz show?"
"クイズ番組かぁ……！","","A quiz show. ......!","","A quiz show...!"
"プロデューサーさんが用意してくれるお仕事なら、
私、チャレンジしてみようと思います！","","If it's a job that Producer can prepare for you,
I, for one, am up for the challenge!","","I'll give it a shot if the
producer is willing to help me out!"
"今からクイズに向けて、もっともっと勉強します！
目標ができると、パワーが湧いてきますね","","Now I will learn more and more for the quiz!
It's so empowering to have a goal!","","I'm going to study even harder for the quiz!
When you have a goal, it's really powerful."
"ありがとうございます、プロデューサーさん！
またちょっとその先に近づけそうな気がします！","","Thank you, producer!
I think we are getting a little closer to that point again!","","Thank you so much, Mr. Producer!
I feel like we're going to get a little closer again!"
"ああ、一緒に頑張ってその先をつかもうな","","Yeah, let's work together to get beyond that.","","Yeah, let's do our best and see what happens after that. I know it will be hard for you to get out of here in one piece"
"アイドルクイズトーナメント！
優勝は今回初登場の春日未来さん～！","","Idol Quiz Tournament!
The winner was Mirai Kasuga, who made her first appearance in this year's competition!","","Idol Quiz Tournament!
The winner is our first appearance, Kasuga Mirai-san!"
"やったー！　ありがとうございます！
優勝だー！","","Yay! Thank you very much!
Winner!","","Yay! Thank you so much.
We're gonna win!"
"（未来が優勝……！　善戦してほしいと
思っていたけれど、まさか優勝するとは！）","","(Future is the winner ......! He wants to fight the good fight.
I thought I would win, but I never thought I would!)","","(The future will win...! I wanted him to fight well,
but who would have thought he'd do that?!)"
"プロデューサーさん、見ました！？
見てくれましたー！？","","Producer, I saw it!
Did you see this!","","Did you see that, producer?!
Did you see it?!"
"私、なんと……優勝しちゃいましたー！
自分でも、とってもびっくりですー！","","I'm a ...... winner!
I am very surprised myself!","","Wow... I won!
I'm surprised myself!"
"静香ちゃんと翼に話したら、
すっごく喜んでくれそうですね～！！","","I talked to Shizuka and Tsubasa,
I'm sure they'll be very happy!","","If I talk to Shizuka-chan and
Tsubasa, they'll be really happy!!"
"ああ見てたよ！　おめでとう未来！
未来が勉強を頑張った成果だな！","","Yeah, I saw that! Congratulations future!
The future is the result of your hard work in your studies!","","Yeah, I saw it! Congrats on the future.
It's the fruit of all your hard work!"
"勉強……？　あの、それが～……全部フィーリングで
答えたら……優勝しちゃいました！","","Study ......? Um, it's ~...... all feeling.
When I answered, I won ......!","","Studying...? Um, well  ...I
answered with all my feelings and I won!"
"え！？　全部、フィーリング！？","","What! It's all a feeling!","","Huh!? All of it feels like..."
"はい！　勉強したところが全然出なかったので、
今回はもう、フィーリングだけが頼りだったんです！","","Yes! I didn't get any of what I had studied,
This time, all I had to rely on was feeling!","","Yes! I couldn't find anywhere to study, so
all we could rely on this time was feeling."
"でもまさか、優勝できるとは思いませんでした～。
プロデューサーさんのアドバイスのおかげです！","","But I didn't expect to win!
Thanks to Producer's advice!","","But I never thought we'd win.
Thanks to Producer's advice!"
"それに、今日、なにか掴めそうな気がしました！
あれもこれも、プロデューサーさんのおかげですね！","","Besides, I felt like I was on to something today!
All of that and more is thanks to Producer!","","Besides, I feel like we're going to find out something today!
It's all thanks to Producer!"
"ありがとうございます、プロデューサーさん！","","Thank you, producer!","","Thank you so much, Mr. Producer!"
"あ、ああ、そうだな。
アドバイスが役に立ったなら、良かったよ","","Uh, yeah, yeah.
I'm glad your advice helped.","","Y-Yeah, you're right.
I'm glad your advice helped."
"（勉強する理由にと、クイズ番組に出てもらった
けれど……想像以上に収穫はあったみたいだ！）","","(I asked him to participate in a quiz show as a reason to study.
But ...... seems to have yielded more than we could have imagined!)","","(I had him appear on a quiz show as my reason for studying,
but... it seems like I got something out of this!)"
"（未来が事務所で勉強をしているみたいだが……）","","(Looks like the future is studying in my office. ......)","","(Mirai seems to be studying at the agency...)"
"うーん……キリがないよ～！　あれが気になると
それも気になってここも気になって……","","Hmmm ...... there's no end to it! If you're wondering about that one...
I'm curious about that too and here: ......","","Hmm... There's no end to it! I was so worried
about that, and this place is just as curious."
"分からないことだらけだよ～！
でも前よりもちょっとだけ分かるような気がする！","","There are so many things I don't understand!
But I think I know a little more than before!","","There are so many things I don't understand!
But I think i'll understand a little more than before!"
"でも分からないことも増えてるような……？
これってもしかして……迷宮入りしちゃってる！？","","But there seems to be more and more things I don't understand ......?
Could this be a ...... lost cause!","","But I feel like there's more to it than meets the eye...
Is this...a labyrinth!?"
"（悩みすぎているみたいだな……）","","(Sounds like you're too worried ......)","","(She seems to be worrying too much...)"
"未来、宿題をやっているのか？
分からないところがあるなら協力するが……","","Future, are you doing your homework?
If there's something you don't understand, I'll help you, but ......","","Are you doing your homework, Mirai?
If you don't understand anything, I can help."
"あ！　プロデューサーさん！　そっか、
プロデューサーさんに教えてもらえばいいんだ！","","Ah! Producer! I see,
Just ask Producer to tell you!","","Oh, hey! It's Producer. I guess we can
just ask him to teach us how it works..."
"今勉強するぞーって集中してたから、それだけに
なっちゃって……思い浮かびませんでした！","","I was so focused on studying now, that's all.
I couldn't think of ......!","","I was so focused on studying right now that I couldn't think of anything else to do! That just made me forget about it all the time, and nothing came into my
head ever happened at this point in our lives. You know what they say? 'Studying is a great way for you guys to study together like normal people are doing..."
"随分勉強熱心だな。
気持ちも入っているし、なにかあったのか？","","You are very studious.
I'm feeling it. What's wrong?","","You're pretty studious.
There's a lot of emotion in her voice. Did something happen?"
