"お疲れさまで～す、プロデューサーさん♪","","Good work, producers!","","Good work, producer! ♪"
"（新しいダンスレッスンも、
すでに習得したっていうのか……）","","(And new dance lessons,
(You mean you've already mastered it? ......)","","(I guess he's already
learned a new dance lesson...)"
"それでも、レッスン途中なんだから、
俺とのおしゃべりはいいから、レッスンに戻るんだ","","Still, I'm in the middle of a lesson,
Enough chit-chatting with me, back to your lesson.","","Even so, we're in the middle of a lesson. Stop
chatting with me and get back to your lessons!"
"分かってますよー。でも、新しい振り付けを、
完璧に覚えたってすごいですよね？","","I know - but new choreography,
Isn't it amazing how perfectly you memorized it?","","I know. But it's amazing that you
memoRinzed the choreography perfectly, right?"
"新しい振り付けをすぐに覚えた、か。
そうだな……","","I learned the new choreography quickly, huh?","","She learned new choreography right away, huh.
Yeah, you're right"
"すごいことだ","","That's great.","","It's amazing."
"当然だ","","Of course.","","Of course I am."
"それは、すごいことだと思うぞ","","I think that's a hell of a thing to do.","","I think that's amazing."
"翼がレッスンを感覚的にこなせるのは、
間違いなく才能だ","","The wings are able to perform the lessons sensibly,
Definitely a talent.","","It's definitely a talent that
allows the wings to do their lessons."
"やったー♪　プロデューサーさんに
ほめられちゃった♪","","Yay...for Producer!
I've been praised","","I did it! ♪ Producer
praised me."
"この才能があったら、
美希先輩みたいに、モテモテになれますか～？","","If only I had this talent,
Can I become irresistible like Miki-senpai?","","With this talent, can I
become popular like Miki-sempai~?"
"いや、それとこれとは別の話だけど……","","No, that's not the same thing as this: ......","","Well, that's a different story..."
"アイドルとして、当然のことだな","","As an idol, you deserve it.","","As an idol, it's only natural."
"当然なんですか？　それじゃ、他のみんなも、
すぐに新しい振り付けを覚えられるんですか？","","Is it natural? Then everyone else, too,
Can you learn new choreography right away?","","Is that a given? Then, can everyone else learn
new choreography right away as well."
"……みんながみんな、そういう訳でもないけど、
翼くらいのレベルのアイドルなら当然だってことだ","","...... Not everyone is like that, though,
It's only natural for an idol with a Level as high as Tsubasa.","","It's not that everyone is like this, but it makes sense for
an idol on the level of Tsubasa to be around them as well.」"
"そうなんですか……。でも、頑張ってるのに当然って
言われると、なんかガッカリしちゃうな～……","","I see... ......... but you say I deserve it for all the hard work I'm doing.
I'm kind of disappointed when you say that... ......","","I see... But it's kind of disappointing to
hear you say that after working so hard."
"（翼のやる気を引き出そうとしたが、
どうやら逆効果だったみたいだな……）","","(I tried to motivate the wings,
(Apparently it had the opposite effect: ......)","","(I tried to get the wings' motivation,
but it looks like that backfired...)"
"とにかく、翼の言いたいことは分かったから、
今はレッスンに戻るんだ","","Anyway, I know what the wings are trying to say,
Now back to the lesson.","","Anyway, I understand what you're trying to say. So
for now we should go back and focus on our lessons!"
"は～い、分かりました……","","Yes, I understand. ......","","Okay, got it..."
"でも、最近何だかレッスンが楽しくて、
ちょっとだけワクワクしてるんですよ～","","But lately I've been kind of enjoying the lessons,
I'm just a little excited~!","","But lately, I've been having so much fun with
my lessons that it has me a little excited."
"だから表情が明るかったのか……。
うん、いい傾向だと思うぞ。続きもしっかりな","","That's why his expression was so bright. ......
Yeah, I think it's a good trend, keep up the good work.","","So that's why her expression was so bright...
Yeah, I think it's a good thing. Keep up the hard work as well"
"は～い！　それじゃあ、プロデューサーさん。
最後まで、わたしのレッスンを見ててくださいね♪","","Yes~! Okay then, producer.
Please watch my lesson until the end.","","Okay! See you later, producer.
Please watch my lessons until the end♪"
"それで、レッスンが終わったら
アイスを食べて帰りませんか～？","","So, when the lesson is over.
Why don't you eat ice cream and go home~?","","How about we grab some ice cream
and head home after class?"
"うーん、今日はアイスは無理だな。
寄り道をして帰るほど、時間に余裕がないんだよ","","Hmmm, I can't have ice cream today.
I don't have enough time to make the detour home.","","Hmm, I can't have ice cream today.
We don't have enough time to take a detour on the way home."
"え～、ゴホウビないんですか～","","Oh, you don't have gohoubi?","","Huh? You don't have any food to eat, do you..."
"……でも、プロデューサーさんが見ててくれるなら、
もう少しだけ、頑張ってみようかな～♪","","......, but only if Producer is watching,
I'll try to hang on just a little bit longer...Â","","...But if Producer is watching, I'll
give it my all just a little longer. ♪"
"ああ、最後まで見ているよ。
だから、レッスン頑張っておいで","","Yeah, I'll see it through to the end.
So, good luck with your lessons.","","Yeah, I'll watch until the end.
So, good luck with your lessons."
"……そうだな。翼がちゃんとレッスンをしたら、
別の日にご褒美を用意するぞ","","...... yes, if the wings give you a proper lesson,
I'll have a treat for you another day.","","...You're right. If you give her a proper
lesson, I will prepare your reward on another day!"
"えへへ、やったぁ～♪
わたし、レッスン頑張ってきますね！","","Hehehe, yay!
I'm going to go give my lesson a try!","","Heheh, I did it! ♪ Looks like my lessons
are going to be a success."
"（約束通りレッスンを見学していると、翼は時折、
俺にキラキラとまぶしい笑顔を向けてきた）","","(As promised, Wings occasionally observes lessons,
(He gave me a sparkling, dazzling smile.)","","(While I was watching the lessons as promised,
Tsubasa would occasionally give me a bright smile.)"
"（……もしかすると、翼が輝くのは彼女自身が
楽しんでいたり、頑張っている時なのかもしれない）","","(...... Perhaps it is her own wings that shine.
(Maybe it's time to have fun or try harder.)","","(Maybe her wings only shine when she's
enjoying herself or working hard.)"
"（この前のレッスンのご褒美にと、
仕事の合間に、翼とカフェにやって来た）","","(As a reward for the last lesson,
(I came to the café with my wings during a break from work)","","(I came to the cafe with Tsubasa while I
was at work, as a reward for my lessons.)"
"えっと～、なににしようかな～♪
あっ、好きな物を頼んでもいいんですよね？","","Let's see...what shall I make?
Oh, you can order whatever you like, right?","","Ummm, what should I do~? Oh! You
don't mind if we order whatever you like."
"もちろん、構わないよ","","Sure, no problem.","","Sure, I don't mind."
"やったぁ！　それじゃ、ご飯はさっき食べたから、
飲み物とスイーツにしよう、っと♪","","Yay! Well then, I've just eaten my dinner,
Let's have a drink and a sweet... ♪","","Yay! I just ate, so let's
have a drink and some sweets♪"
"ええっと、ドリンクは……。
うん、アイスのカフェラテにしようかな♪","","Let's see, drinks are available at .......
Yeah, I'll have an iced latte... ♪","","Let's see, the drink is...
Yeah, I'll have a caffè latte with ice cream. ♪"
"あっ、プロデューサーさんは、
コーヒーでいいですよね？","","Oh, Producer,
Coffee is fine, right?","","Ah, Producer is
fine with coffee?"
"ああ、ホットで頼む","","Yeah, hot, please.","","Yeah, I'll have hot."
"分かりましたー。そういえば、
プロデューサーさんって、いつもコーヒーですよね？","","I understand - come to think of it,
Producers are always coffee, right?","","I understand. By the way, aren't
you always drinking coffee?"
"なんというか、無難な飲み物だからな","","What can I say, it's a safe drink.","","Well, it's a safe drink."
"へー、そうなんですね……。あっ！
期間限定のパフェだって！　頼んでもいいですか？","","Heh, I see. ....... Oh!
It's a limited time only parfait! Can I order it?","","Oh, I see... Ah!
It's a limited-time parfait! Can I ask you for one, please?"
"ああ、いいよ","","Yeah, okay.","","Yeah, sure."
"ホントですか～！　ありがとうございま～す♪
あっ、すみませ～ん。注文、いいですかー？","","Thank you very much!
Oh, sorry, can I order?","","Really?! Thank you so much♪ Ah,
excuse me. Can I order now~"
"えっと、アイスカフェラテとホットコーヒー。
それと、この期間限定のパフェをお願いしま～す♪","","Let's see, iced cafe latte and hot coffee.
And please, a parfait for this limited time only... ♪","","Let's see, iced caffè latte and hot coffee.
Also, I'd like to order this limited-time parfait~♪"
"えへへ、期間限定パフェ、楽しみだなあ～♪
４種類のアイスに、たっぷり生クリームですって！","","Ehehe, I'm looking forward to the limited time parfait!
Four kinds of ice cream and plenty of whipped cream!","","Heheh, I can't wait to try the limited-time parfait! ♪
Four different types of ice cream and lotsa fresh ones~"
"プロデューサーさんも少し食べますか？","","Would you like some food, producer?","","Would you like some too, producer?"
"いや、翼ひとりで食べていいぞ","","No, you can eat on your own in the wings.","","No, you can eat on your own."
"分かりました。あっ、でも実際に見て、食べたく
なったらエンリョなく言ってくださいね～♪","","Okay, but I want to see it in person and eat it.
Please tell me when you become one without enryo~♪","","Got it. Oh, but if you want to try some
for yourself and see what's inside~"
"ああ、ありがとう。
……なんだか今日は、やけに元気だな？","","
...... Why are you looking so good today?","","Yeah, thanks.
...You seem awfully energetic today."
"えっ、そうですか？
自分ではそんな感じはしませんけど……","","Oh, really?
I don't feel that way myself, but ......","","Huh, is that so?
I don't feel that way myself, but..."
"でも、最近の活動が何だか楽しくて、
ハッピーライフって感じがします♪","","But I'm kind of enjoying the recent activity,
It feels like a happy life.","","But I've been having so much fun
lately, it feels like a happy life. ♪"
"こうして、プロデューサーさんとふたりで
カフェでお茶できるのも、楽しいですからね～♪","","Thus, the two of us with Producer
It's fun to be able to have tea at a café...Â","","It's so much fun having tea with
Producer like this! ♪"
"そうか。それならよかった。
最近の翼、キラキラしてるもんな","","Well, that's good to know.
Wings, you're so sparkly these days.","","I see. That's good to hear, then!
Lately, your wings have been glittering."
"ホントですか！？　プロデューサーさん！","","Really? Producer!","","Are you serious?! Mr. Producer..."
"キラキラしてるってことは、
わたしがかわいくなったってことですよね♪","","I mean sparkling,
I'm getting prettier.","","If it's sparkling, that means
I look cuter now. ♪"
"いや、かわいくなっているとは思うけど……。
俺が言いたいことは、そういう意味じゃなくて……","","No, I think it's getting cute. ......
That's not what I meant. ......","","No, I think she's getting cuter...
That's not what I meant..."
"ねえねえ、プロデューサーさん♪　わたしの
どこがかわいくなったのか、教えてくださいよ～！","","Hey, hey, hey, producer!
Please tell me what made it cute!","","Hey, hey! ♪ Tell me what's so cute
about you that I look even cuter now."
"……そうだな。
しいて挙げるとするなら、ここかな……","","
If I had to name one, it would be here: ......","","...You're right.
If I had to name one, it'd be here..."
"顔","","face","","Face"
"頭","","head","","Kashira"
"その他（顔・頭以外）","","Other (other than face/head)","","Others(Except for the face and head.)"
"時間切れ","","time-out","","Time up"
"えへへっ♪
わたしの顔がかわいくなったんですか～♪","","
Has my face gotten cuter~♪","","Eheh~ Did my face
get cuter?"
"あんまり実感はないんですけど、プロデューサーさん
が言うなら、そうなんだって思います♪","","I don't really feel it, producer.
I think that's true, if you say so.","","It doesn't really feel real, but if the
producer says so I think it does. ♪"
"最近は、翼もイキイキしているからな。
それが表情にも出ているんだろうな","","The wings are so vivacious these days.
I'm sure it shows in their expressions.","","Lately, my wings have been pretty lively.
I'm sure that was written all over your face."
"イキイキ？","","Vibrancy?","","Iki-iki?"
"えへへ、頭を撫でられるの、嬉しいな♪　……って、
あれ？　もしかしてこれって、子ども扱い？","","Ehehe, I'm so happy to get a pat on the head... ......,
Huh? Could it be that I'm being treated like a child?","","Heheh, I'm so happy when you pat my head. ♪
...Wait a second... Is this childish treatment?"
"子ども扱いじゃないぞ。
最近の翼がいい感じなんで、ほめたくなったんだ","","I'm not treating you like a child.
I just wanted to compliment you on how nice your wings have been lately.","","I'm not treating you like a child.
Lately, I've been feeling pretty good about my wings."
"いい感じって言われても、
分からないですよ～","","I've been told it looks good,
I don't know.","","I don't know what
you mean by that"
"わたしのここがカワイイ？　プロデューサーさん、
目のつけどころが、ちょっと変わってますね……","","What's cute about me? Producer,
The eye is a little different. ......","","Is this part of me cute? Producer's
eyes have changed a little..."
"あっ！　もしかして、最近のレッスンでウェストが
少し締まったんですけど、そういうことですか？","","Ah! Perhaps the recent lessons have made the waist
It tightened up a bit, is that what you mean?","","Ah! Could it be that your waist has gotten
a little tighter from the recent lessons?"
"い、いや、限定パフェを頼んだ時の翼がかわいく
見えたから、空腹がそうさせているのかなと……","","No, no, the wings were cute when I ordered the limited edition parfait.
I could see it, so I'm wondering if hunger is doing that to you. ......","","N-No, I was just thinking that your wings looked cute when you ordered
the limited parfait. Maybe it's because of how hungry they are..."
"どうしたんですか、プロデューサーさん？　早く、
私のどこがかわいくなったか、教えてくださいよ～","","What's going on, producer? Quickly,
Please tell me what makes me cute~!","","What's wrong, producer? Hurry up
and tell me what makes you cuter"
"翼はかわいいからな、すぐに答えられなかった。
もちろん、アイドルとしてかわいいってことだよ","","Wings are so cute, I didn't answer right away.
Of course, I mean cute as an idol.","","The wings are cute, so I can't answer right away.
Of course, as an idol it's cute."
"もう、プロデューサーさん。
そういう意味じゃダメなんですよー！","","Oh, God, producer.
That's not what I meant!","","Geez, Mr. Producer!
That's not what I meant!"
"そういうのを抜きにしてかわいくならなくちゃ、
モテモテライフって言えなくないですかー？","","You have to be cute without those things,
Can't you say ""irresistible life""?","","If you don't get cute without that, then
I guess we can call it a popular life."
"いや、そんなことないと思うぞ。翼のモテモテ
ハッピーライフについて、考えてみたんだけどな","","No, I don't think so, winged motormouth.
I've been thinking about the happy life.","","No, I don't think so. It was just thinking about how popular
the girls in my wings are with me for a happy life..."
"翼がより一層輝くのは、アイドルとしての活動を
楽しんでいたり、頑張っている時だと思うんだ","","Wings shines more brightly as an idol when
I think it's when they're having fun or working hard.","","I think the reason why your wings shine even brighter is because you're enjoying being an idol, or working hard
at it as a person. That kind of thing happens to people who love their work more than anything else in life"
"わたしが楽しんだり、頑張ってる時……？","","When I'm having fun and working hard ......?","","When I'm having fun and doing my best...?"
"ああ。この前のレッスンの翼の表情や笑顔、
すごく輝いていた","","Ah...the expressions and smiles on the wings of the last lesson,
It was so bright.","","Yeah. The look on your face and the smile you gave
me during that lesson were really bright, too..."
"それに翼のイキイキとしている姿は、
思わず目で追ってしまうほど魅力的だった……","","And the wings are so vibrant,
It was so attractive that I couldn't help but follow it with my eyes: ......","","And the way her wings are excited is so
attractive that I can't help but follow it with my eyes..."
"プロデューサーさんも、わたしのこと
もっと見ていたいって思っちゃうくらい？","","Producer is also my
So much so that you wish you could see more of it?","","So much so that Producer
wants to keep looking at me?"
"そうだな。俺がファンの立場だったら、
ずっと釘付けだと思うぞ","","Yes, if I were a fan,
I think you nailed it the whole time.","","Yeah. If I were a fan, you'd be staring at me for years to
come and see what it is that we do together like this about"
"ふぅん……そっか","","Hmmm ...... I see","","Hmm... I see."
"翼は、ファンにモテるのは少し違うって言うけど、
まずはアイドルとして、輝いてみるのはどうだ？","","Wings says it's a little different to be popular with fans,
How about shining as an idol first?","","You say wings aren't exactly popular with
fans, but how about you shine as an idol first?"
"俺にはそれが、モテモテハッピーライフへの
近道に思えるんだ","","For me, it's the way to a irresistibly happy life.
Seems like a shortcut to me.","","To me, that seems like a shortcut
to the popular happy life."
"……プロデューサーさんが、そこまで言うなら、
わたし、もう少し頑張ってみてもいいですよ♪","","...... producer, if you insist that much,
I can try a little harder.","","...If you're going to go that far,
then I can try a little harder. ♪"
"ああ！　一緒に頑張ろうな！","","Oh! Let's work together!","","Yeah! Let's do our best together."
"は～い！　えへへ♪","","Yes!","","Okay! Hehe♪"
"（その後、翼は上機嫌でパフェを食べていた。
よし、俺も翼のために、いい仕事をとってくるぞ！）","","(Afterwards, Tsubasa was in a good mood, eating a parfait.
Okay, I'll go get a good job for the wings, too!)","","(After that, Tsubasa ate her parfait in high spirits.
Alright, I'll do a good job for the wings too!)"
"（翼の参考になればと思い、
他のアイドルのライブを見に行くことにした…‥）","","(I thought it would be helpful for the wings,
I decided to go see other idols live..................)","","(I thought it might be a good reference for Tsubasa,
so I decided to go watch another idol's concert...)"
"さっきのライブ、よかったですね～！","","I'm glad you had a great show earlier!","","That concert just now was great!"
"ファンのみんなとの一体感も、すごかったですし、
歌とダンスもいい感じでしたよね♪","","The sense of unity with the fans was amazing,
And the singing and dancing was nice too... ♪","","The sense of unity with all the fans was
amazing, and it felt good to sing♪"
"ああ、いいライブだったな。
特に、どういったところが翼は良いと思ったんだ？","","Yeah, it was a good show.
What in particular did you think was good about the wings?","","Yeah, it was a good concert.
In particular, what part of you thought wings were good?"
"特に良かったところ……ですか～？","","Is ...... a particularly good place to start~?","","A particularly nice place...?"
"うーん……そう言われたら困っちゃいますね。
全体的に良かったですよ～！","","Hmmm... ...... I'm in trouble if you say so.
Overall, it was good!","","Hmm... If you put it that way, I'm not sure what to do.
It's all good!"
"もっと、具体的な感想はないかな？
会場の雰囲気とか、アイドルの一挙手一投足……","","Do you have any more specific feedback?
The atmosphere of the venue and the idol's every move: ......","","Do you have any specific thoughts?
The mood of the venue, each and every move an idol makes..."
"研究のために見に行ったんだから。
……まあ、息抜きって意味もなくはないけど","","I went to see them for research.
...... Well, not without a sense of relaxation.","","I went to see it for my research.
...Well, it's not like there was no point in taking a breather."
"えっ……。そうだったんですか？","","What? ....... Did you?","","Huh? Is that so..."
"わたしをライブに誘ってくれたのって、
アイドルの勉強のためだったんですね……","","I remember when you invited me to the concert,
It was for studying idols. ......","","You invited me to a concert so you
could study being an idol..."
"あ、ちゃんと話してなかったか……。
悪い、始まる前に言っておけば良かったな","","Oh, I guess I didn't speak properly. ......
Sorry, I should have told you before we started.","","Ah, I guess we didn't tell her...
Sorry, I should've told you before it started."
"えへへっ！　そんな気にしないで大丈夫ですよ～","","Don't worry about it~!","","Hehe! Don't worry about it~"
"そういうことなら、
今日のライブの感想、ちゃんと言わないとですね～！","","If that's what you mean,
I have to say what I thought of today's concert, I have to say it right!","","If that's the case, then I need to tell
you what we thought about today!"
"そうですねー、今日のライブの感想～。
う～ん、どこが良かったかっていうよりも……","","Yes - my thoughts on today's show~.
Hmmm, I'm not sure where I liked it better: ......","","Let's see... What do you think of today?
Hmm, it's not so much about what was good..."
"わたしも、あんなステージに
立てたらいいなーって感じました！","","I, too, would like to be on that stage.
I felt that it would be nice if I could stand up!","","I wish we could've
been on that stage, too!"
"翼のステージか……。うん、今の翼の実力を
考えると、挑戦してみるのも悪くないな","","The wing stage or ....... Yeah, I'm not sure how good the wings are right now.
Considering, it's not a bad idea to give it a shot.","","A winged stage, huh? Yeah. Considering how powerful the wings are
right now it's not a bad idea to try one out for yourself as well"
"えっ、ホントですかー！？","","What? Really!","","Huh? Really!"
"カフェで話したこと、覚えているよな。
頑張っている時の翼は輝いていたって","","You remember what we talked about at the cafe, right?
He said the wings shined when he was working hard.","","You remember what we talked about at the cafe, right?
When you're working hard, your wings are shining."
"もちろん、覚えてますよ～。
すっごく嬉しかったもん♪","","Of course, I remember!
I was so happy.","","Of course I remember~.
It made me really happy♪"
"だから、よりアイドルらしい活動……
例えばライブとか大きな舞台に挑戦することで","","So, more idol-like activities: ......
For example, by trying out for live shows and other big stages.","","That's why I want to do more idol-like activities...
Like a live performance, or taking on the big stage"
"その先に、モテモテハッピーライフがなにか、
答えが見えるかもしれない","","Beyond that, what is a irresistibly happy life?
Maybe we'll get some answers.","","You might be able to see the answer in a way that'll give you an easier, happier life
than being popular with girls. That should help me figure it out sometime soon enough"
"より翼の才能を活かすなら……
他のアイドルと競い合うような形式がいいかな？","","If you want to make more use of your winged talents, please visit ......
Would you prefer a format where you compete with other idols?","","If I want to make use of my wings' talents...
Would it be better to compete with other idols?"
"他のアイドルと競い合う……フェスですか？
やりたいです、ぜったいにやりたいですっ！","","Is this a ...... festival where you compete against other idols?
I want to do it, I want to do it!","","Are you competing with other idols for the festival?
I want to do it, no matter what!"
"よしっ。その意気込みを信じて、翼がメインの
ライブ……フェスを企画してみるか！","","Okay, I believe in that enthusiasm, and the wings are the main thing.
Let's organize a live ...... festival!","","All right. I'll believe in your enthusiasm and plan
out a concert with wings as the main event!"
"メンバーは翼を中心に……翼が憧れている……
美希や甘奈、美嘉あたりに声をかけてみよう！","","The members are centered on Tsubasa, whom ...... Tsubasa admires. ......
Let's talk to Miki, Amana and Mika!","","The members focus on the wings... and admire them.
Let's talk to Miki, Amana and Mika!"
"わあ、いいんですか！？　
すっごく嬉しい♪","","Wow, are you sure!
I'm so happy!","","Wow, are you sure!?
I'm so happy♪"
"わたし、プロデューサーさんのためにも、
ぜったいに成功させてみせますね！","","For me and for my producer,
I'm sure we'll make it work!","","I'm going to make this a success,
for the sake of our producer!"
"そうだな、一緒に頑張っていこう……ん？","","Yes, let's work together ...... hmm?","","Yeah, let's do our best together... Hm?"
"どうしたんですか、プロデューサーさん？","","What's wrong, producer?","","What's the matter, producer?"
"いや、俺のためにも成功させるって言ったけど、
なんか違うんじゃないか？","","No, I said I would make it work for me,
Something's different, isn't it?","","Well, you said it was for my sake
as well. Isn't that wrong?"
"えっ、どこかおかしかったですか？","","What? Is there something wrong?","","Huh? Is there something wrong with me..."
"翼が頑張る理由は……","","The wings work hard for a reason: ......","","The reason why the wings work so hard..."
"自分のため","","for one's own sake","","For my own sake."
"ファンのため","","For Fans","","For the fans."
"世界のため","","For the World","","For the world."
"自分の目標のために、じゃないのか？","","Not for your own goals?","","Isn't it for your own goals?"
"あっ、たしかに……。
モテモテハッピーライフのためでしたね","","Oh, sure, .......
It was for the irresistibly happy life, wasn't it?","","Ah, you're right...
It was for the sake of a popular, happy life."
"さすがプロデューサーさん♪　わたしの目標のこと、
わたしよりも考えてくれてるんですね！","","That's what I'm talking about, Mr. Producer...,
You are thinking about it more than I am!","","That's my producer! ♪ You think about
what I want to do more than me, right?"
"ファンのために、じゃないのか？","","Isn't it for the fans?","","Isn't it for the fans?"
"もちろんファンのためもありますけど、わたしは
モテモテハッピーライフも目指してるんですよー！","","Of course, it's for the fans, but I
I'm also aiming for a irresistibly happy life!","","Of course, I'm doing it for my fans. But
also to live a happy life of popularity!"
"プロデューサーさんだって、わたしの目標のためにも
ライブをしようって言ってくれたじゃないですか～","","Even Producer is for my goals.
You said we should do a live concert!","","Producer said he'd put on a
concert to help me achieve my goal, right?"
"世界のために、じゃないのか？","","For the world, isn't it?","","Isn't it for the world?"
"世界のため……？　わたし、そんな
大きな目標、言ったことありましたっけ～？","","For the world ......? I, no.
Big goals, did I ever tell you -?","","For the world...? Did I ever say
something like that before~"
"さっきプロデューサーさんが言ってくれたとおり、
モテモテハッピーライフのためですよ～？","","As Producer said earlier,
It's for a irresistibly happy life~?","","Just like Producer said, it's
for a happy life of popularity."
"でも、なんでプロデューサーさんのため、なんて
言っちゃったんだろう？","","But why for Producer?
I told you, didn't I?","","But why did I say it was
for Producer's sake?"
"いや、俺に聞かれても……","","No, you're not asking me. ......","","Well, even if I ask..."
"とにかく、フェスに向けて頑張りますから、
わたしのことを応援してくださいね♪","","Anyway, I will do my best for the festival,
Please support me♪","","Anyway, I'll do my best to prepare
for the festival. Please cheer me on! ♪"
"いいですか、約束ですよ！
わたしのこと、ちゃ～んと見ててくださいね♪","","Look, it's a promise!
Please keep an eye on me.","","Okay, promise me!
Please keep an eye on me~♪"
"ああ、もちろん。約束するよ！","","Yes, of course, I promise!","","Yeah, of course. I promise!"
"（翼の新しい目標が決まった。
その中で翼自身、なにかが掴めるといいけど……）","","(A new goal for the wings has been set.
(I hope Wings himself can get something out of it. ......)","","(I've found a new goal for my wings.
It'd be nice if we could learn something about the wings themselves...)"
"（よし、俺も全力でサポートしていくぞ！）","","(Okay, I'll do my best to support you too!)","","(All right, I'll do my best to support her!)"
"ええと、ステップを８回繰り返してから、
くるっとターンして……最後に決めっと♪","","Let's see, after repeating the step 8 times,
Turn around and ...... decide at the end.","","Let's see... I repeat the steps eight times,
then spin around and make one final turn. ♪"
"ふぅ……。どうでしたか～？","","Phew. ....... How was it~?","","Phew... How was it?"
"うん、しっかり流れを覚えているし、
ダンスのキレも文句なし、最高って感じね！","","Yeah, and I remember the flow well,
The dance moves are also very sharp!","","Yeah, I remember the flow perfectly. And there's nothing
wrong with my dancing skills! This is just great!!"
"ホントですか～？
ありがとうございま～す♪","","Really?
Thank you very much.","","Really ?
Thank you very much! ♪"
"それじゃあ、もう一度、最初から通しでやるんで、
変なところがないか見てもらえますか？","","Well then, let's go through it again from the beginning,
Could you look to see if there is anything odd?","","Well then, I'll start from the beginning
again. Can you see if there are anything strange?"
"えっ……。ええっ、いいわよ","","Eh, ....... eh, okay.","","Huh...? Sure, go ahead."
"お疲れさまでーす♪","","Thanks for all your hard work...","","Good work today~♪"
"お疲れ様、翼。
今日もレッスンをしてたのか？","","Good job, Wings.
Did you have another lesson today?","","Good work, Wings.
Were you having another lesson today?"
"はい！　プロデューサーさんと
約束したフェスに向けて、ぜっさん準備中で～す♪","","Yes! With Producer.
I'm getting ready for the festival I promised you!","","Yep! We're getting ready for the
festival we promised our producer. ♪"
"そうか、熱心にレッスンに励んでいるみたいだな","","Well, it sounds like you've been diligently working on your lessons.","","I see. You seem to be putting in a lot of effort for your lessons, then、"
"ええ、最近の翼ちゃんは、とくに頑張っているって、
トレーナーさんも褒めていましたよ","","Yes, he said, Tsubasa has been working especially hard lately,
Even the trainer praised it!","","Yeah, the trainer praised you for working especially hard these days. That's why he said it was a good idea to
get in on your case now that I think about what happened with Tsubasa-chan and her friends earlier this year"
"えへへっ、ホントですか～♪","","Hehehe, really~♪","","Hehe, really? ♪"
"だって、わたしをずっと見てくれる人がいるから、
サボれないんですよね～♪","","Because there is someone who will always look out for me,
I can't slack off...Â","","I can't slack off because there
are always people watching over me~"
"翼ちゃんをずっと見てくれる人……？","","Who will watch the wings all the time ......?","","Someone who'll always watch over you...?"
"あっ、そ、それは……。
熱心なファンのため、ってことだよな、翼？","","Oh, well, that's .......
For the devoted fans, you mean, right, Wings?","","Ah, th-that's...
You're doing this for your fans, right?"
"さ～て、どうでしたっけ？","","Well - how did it go?","","Hmmm, I wonder?"
"なんだか、怪しい雰囲気……。もしかして……？
あっ、翼ちゃん。なにか飲み物を持ってこようか？","","There's something fishy about ....... Could it be ......?
Oh, Tsubasa, shall I bring you something to drink?","","Something seems fishy about this... Could it be?
Ah, Tsubasa-chan. Should I bring you something to drink?"
"はい、お願いしま～す！","","Yes, please~!","","Yes, please~!"
"そうだ、プロデューサーさん。
次のフェスのことなんですけど……","","Yes, Mr. Producer.
I'm talking about the next festival: ......","","That's right, Mr. Producer!
About the next festival..."
"ん、なんだ？","","Hmm, what is it?","","Hm? What is it?"
"えっと～、フェスに勝ったら、
どんなご褒美をくれるんですか～♪","","Let's see - if we win the festival,
What kind of reward are you going to give me~!","","Umm... What kind of reward will you
give me if I win the festival? ♪"
"……ご褒美だって？","","...... Reward, you say?","","...A reward?"
"はいっ♪　もしかして、お願いならなんでも
聞いてくれるってやつですか！？","","
You know, the kind that listens to you!","","Okay! ♪ Are you going
to do anything I ask?"
"ま、待った！　ご褒美なんて約束していないぞ！
ましてや、お願いならなんでもなんて……","","Now, wait a minute! I didn't promise you a reward!
And I'm not sure I'd do anything you'd ask me to do. ......","","W-Wait! I didn't promise you a reward or anything like that.
Not to mention, I wouldn't do anything if it was a request..."
"え～、ご褒美ないんですか～。
自主レッスン、頑張ってるのに……","","Oh, you don't have a reward?
Independent lessons, even though I'm doing my best. ......","","Aw, you're not going to reward me?
Even though I'm doing my best at independent lessons..."
"（……ここで断ったりしたら、
翼のやる気を削いでしまうかもな）","","(...... if you say no here,
(Might discourage the wings.)","","(...If I turn her down now, it might
ruin the wings' motivation.)"
"ちなみにだけど、
翼はどんなお願いをするつもりだったんだ？","","By the way,
What kind of request were the wings going to make?","","By the way, what
was your wish?"
"デートです！
プロデューサーさんとデートがしたいです♪","","Date!
I want to go on a date with Producer.","","It's a date!
I want to go on a date with Producer."
"俺とデートだって……？
そうだな、そのお願いは……","","You said you had a date with me. ......?
Yes, that's what I'm asking: ......","","A date with me?
That's right, that request is..."
"いい","","sufficient (can be used to turn down an offer)","","It's okay."
"ダメ","","","","Can't do that"
"デート、というか普通にご飯を食べたり、
買い物に行くだけでよければ、いいぞ","","Dating, or just having a normal dinner,
If you just want to go shopping, fine.","","It's more like a normal date. We can just eat
and go shopping, if you want to do it that way"
"えっ……。ほ、ホントですか～！
ホントにいいんですか～！？","","What? ....... Oh, really?
Are you sure about that~!","","Eh... R-Really?!
Are you sure about this?!"
"今から、やっぱりダメっていうのはナシですよ！","","It's not like you can say no from now on!","","I'm not going to say no now!"
"ああ。言わないから、安心してくれ","","Oh, I won't tell, don't worry.","","Yeah. I won't tell you, so relax a bit"
