"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"イタズラを考えたり、俺には想像もできない、
みんなを驚かせるような考えをしたりするからかな","","Thinking of pranks, I can't even imagine,
Maybe it's because I do some ideas that surprise everyone.","","Maybe it's because I think of pranks, or ideas that
surprise everyone that I can't even imagine."
"えええー！？
それって、大人のミリキとはちがうじゃーん！","","Eeeeee!
That's not the same as adult Miriki!","","Whaaaat!?
That's not like an adult like me!"
"違うかもしれないけど、
大人もびっくりさせるのは亜美の才能かな","","Maybe not,
I guess it's Ami's talent to surprise even adults.","","Maybe not, but I think it's
Ami's talent to surprise adults."
"んっふっふ～♪
そう言われると、気分がいいね♪","","Mmm-hmm~♪
It feels good to hear you say that. ♪","","Hehehe~ It feels good
to hear you say that~"
"腕？　亜美の腕に大人のミリキが詰まってるの？
兄ちゃん、ちょっとマニアックだね？","","Arms? Ami's arms are filled with adult milikis?
Brother, you're a bit of a maniac, aren't you?","","An arm? Is Ami's arm full of adult Miki?
You're a bit of a maniac, aren't you?"
"いや、マニアックって言われても……。ガンガン
仕事をこなす腕前が、魅力だと思ったんだが……","","No, I'm not called a maniac. ....... guns.
I thought your skill at getting the job done was what made you so appealing. ......","","Well, even if you say 'maniac'... I thought
you were really good at your job, but"
"おお～、仕事がデキる女ってやつだね♪
んっふっふ～、ちょっといい気分","","Oh, you're a woman who's good at her job.
Mmmmmm... I feel a little better.","","Ohhh, you're a woman who's good at her
job♪ Heheheh, I feel kinda good."
"ぎゃー！　兄ちゃん、びっくりするでしょ！
っていうか、ここにミリキがつまってるってこと！？","","You must be surprised, brother!
I mean, this is where Miriki is stuck!","","Aaaaaah! You're going to scare me like that!
Wait, does that mean there's a bunch of them here!?"
"すまんすまん！
度胸がすごいって言いたかったんだが……","","Sorry, sorry!
I just wanted to say that you have a lot of balls: ......","","Sorry, sorry, sorry!
I wanted to say you've got guts, but..."
"度胸って……お色気が足りない感じだよ！","","Guts is like ...... not sexy enough!","","Courage? ......I don't think I've had enough sexiness!"
"ど、どこかも教えてくれない！？　もしかして
亜美に大人のミリキはゼロってことなのー！？","","You can't even tell me where it is! Maybe...
Does this mean that Ami has zero adult Miriki!","","Y-You're not going to tell me where?! Are you
saying Ami doesn't have a single adult Miki?!"
"い、いや、そういうことじゃなくて……
空気とか雰囲気ってことだったんだけど……","","No, no, that's not what I meant. ......
I meant air and atmosphere. ......","","N-No, that's not what I meant...
The atmosphere and stuff, but..."
"って、兄ちゃん！
結局ポーズの参考にならないじゃん～","","I mean, brother!
After all, it's not a reference for posing!","","Hey, mister!
In the end, it's not a reference for poses."
"もっとしっかりバッチリ意見ちょーだいよー！
亜美はみかぴょんに追いつかないといけないのに～","","Please give me a more solid and complete opinion!
Ami had to catch up with Mikapyon.","","Please give me a more solid opinion!
Ami has to catch up to mikapyon."
"こうなったら……","","If this happens ......","","Now that it's come to this..."
"あ、亜美……？　ポーズなら一緒に考えるから、
イタズラは程々に……な？","","Oh, Ami ......? I'll think of a pose with you,
Mischief in moderation. ......?","","A-Ami...? I'll think of a pose with you,
so don't tease me too much... Okay?"
"よし！　今事務所にいるみたいだし、さっそく
みかぴょんウォッチングにいってこよ～っと♪","","Okay, it looks like he's at the office now, so let's get to it.
I'm off to go Mikapyon-watching!","","All right! It looks like he's in the office right now,
so I'm gonna go hop on a Mika-pyon-watching trip! ♪"
"ついでにハグしてちょっぴりタッチしてもいいかな？
いいよねー？　いいよー！　アイアイサー♪","","And while we're at it, can I give you a hug and a little touch?
It's good, isn't it? It's good! I'm sorry, I'm sorry, I'm sorry.","","While we're at it, can I give you a hug and a little touch?
It's okay, right-? It's okay-! Aye aye, aye♪"
"んっふっふ～♪　みかぴょんのせくしーを
亜美にもおすそ分けしてもらうよーん！","","I'll take Mikapyon's sekkie.
I'll have Ami share hers with you!","","Heh heh heh! ♪ I'm going to have
Ami share Mikapyon's sex with me!"
"ま、待て、亜美！
美嘉を困らせないようにだな……","","Well, wait, Ami!
Don't want to embarrass Mika. ......","","W-Wait, Ami!
Try not to trouble Mika..."
"みかぴょーん、今から亜美が会いに行くからね！
兄ちゃん、おっさきー☆　バビューン！","","Mikapyon, Ami is going to see you now!
Brother, oopsaki☆ bububububun!","","Mikapyon, Ami's going to see you now!
Hey, mister! ☆ Babuun!"
"い、行ってしまった……！","","Yes, it's gone. ......","","H-He's gone!"
"（亜美の目指している方向が
間違っているような気がするんだが……）","","(The direction Ami is trying to go in.
(I think you're wrong. ......)","","(I feel like Ami's aiming
in the wrong direction...)"
"（事務所で亜美がなにかしている……）","","(Ami is doing something in her office: ......)","","(Ami is doing something in the office...)"
"まこちん、みてみて～。
こうして、こうして～こう！","","Makochin, take a look~.
Thus and thus - thus and thus!","","Makochin, look, look!
Like this, like this, like this, like this!"
"えーと……何か変なポーズだね。
ごめん亜美、何がしたいかよくわからないよ","","Let's see, ...... what a strange pose.
Sorry Ami, I'm not sure what you want.","","Umm... That's a weird pose.
Sorry, Ami. I don't really know what you want to do."
"変なポーズ！？　亜美、みかぴょんみたいな
『コアクマ的なポーズ』してるんだよ～","","Weird pose! Ami, like Mikapyon.
I'm doing the 'core bear pose'.","","A weird pose!? Ami's like Mika-pyon.
『A pose like a koa bear.』I'm doing it!"
"コアクマ？　う～ん……コアクマっていうのは
よく分からないけど、気になるところはあるかな……","","Core bear? Ummm... ...... core bear means
I'm not sure, but I guess I'm curious: ......","","Coa Bear? Hmm... I don't really get what you mean by 'coa
Bear', but I guess there's something about it that's bothering me"
"え、どこどこ？
ミリキを感じちゃうポイントある！？","","What? Where? Where?
There is a point where I feel Miriki!","","Huh? Where? Where?
Is there a point where I can feel the riki! What?"
"そうじゃなくて……ポーズを取るなら、もう少し
ポージングの基礎を身につけたほうがいいと思うよ","","If you don't, and you're going to pose ......, you're going to have to do a little more than that.
I think you should learn the basics of posing.","","That's not what I mean... If you're going to strike a
pose, I think you should learn the basics of posing."
"ぽーじんぐのきそ？","","Porzinge's principle?","","Po-jing-no-kiso?"
"体幹を鍛えるんだよ。そうしたら、
ブレずにポージングできるようになるからさ！","","You have to work on your core, then,
You'll be able to pose without blurring!","","You have to train your body. Then you'll
be able to pose without wavering!"
"たい……か……いん……か、たいん……
い、いん……いんかん？","","Tai ...... or ......In ...... or TaiN ......
In, in ...... in?","","Tai......ka......in......ka, tain......
N-No... No?"
"あ、ジューヨーな書類に押すやつだよね？
ポンって押すポーズがきそってこと！？","","Oh, you know, the ones that you stamp on juicy documents?
I mean, the popping pose is a poke!","","Oh, you're the one who's supposed to press the joe, right?
So you're going to strike a pose that'll push me?!"
"体幹よ、た、い、か、ん！
バランスを取るための、体の軸になるところのこと！","","The torso, tai, kan!
It refers to the axis of the body, for balance!","","It's the trunk.
It's the axis of the body!"
"なるほど……確かにダンスするとき、
バランスよくないとブレブレプレーだね","","I see. ...... sure when you dance,
It's a shaky play if you don't have a good balance.","","I see... It's true that when you dance, you have
to be well-balanced or you'll lose your balance."
"そうよ。でも、そもそも小悪魔路線を
目指す気なら、ポージング以前に大事なものがあるわ","","Yes, but I'm not going to go down the little devil route in the first place.
If you're going for it, there are things that matter before posing.","","That's right. But if you're aiming for the devilish
line, there's something more important you need to do"
"ポージング以前に大事なもの？
それはボクも知りたいな","","What is important before posing?
I'd like to know that too.","","Something important before posing?
That's what I want to know too."
"なになに？　亜美、それがわかれば、
すぐにもっとせくしーになれるよね！","","What is it? Ami, if you can figure it out,
You'll be more sesquicentennial soon!","","What's this? Ami, if you knew that, you'd
be able to have even more sex right away!"
"あのね、そんな魔法みたいにはいかないの。
色気って内面からにじみ出る雰囲気が大事なのよ","","You know, it doesn't work like that magically.
Sexuality is all about the atmosphere that oozes from the inside.","","You know, it's not like that kind of magic.
It's important to have an atmosphere that seeps out from within."
"大人っぽい色気を醸し出すことで、小悪魔っぽさが
増すから、体裁だけ取り繕ってもダメなの","","By creating a mature and sexy atmosphere, the devilishness of the
It's no good just putting up appearances because it will increase.","","Making it more mature and sexy just makes it more
demonic, so it's no use trying to keep up appearances"
"おお～！　いおりんってば、さっすがー！
ウンチクがあるね～！","","Oh~! Iori, you're so cool!
You are so pooped!","","Wow! I'm impressed, n!
That's some serious poop, n!"
"含蓄よ！　だから一番大切なのは『内面』なの。
まずはちゃ～んと時間をかけて、色気を学ぶことね","","So the most important thing is 'inside'.
First of all, you need to take the time to learn how to be sexy.","","Containment! That's why the most important thing is  Inside  .
First, take your time and learn about sex appeal."
"うんうん、お色気！　あだるてぃーでせくしーな
カンジ！　つまり……亜美の得意とするとこだね！","","Adultease and sexy!
Kanj! I mean, that's what ...... Ami is good at!","","Yep, yep, that's sexy! It's sexy and sexy!
In other words... it's Ami's specialty!"
"得意かもしれないけど、
もうちょっと勉強したほうがいいかもね","","You might be good at it,
Maybe you should learn a little more.","","You might be good at it, but you
should study a little more."
"勉強か～！　兄ちゃん、お色気の参考になる人って
誰がオススメとかあるかなー？","","Study~! Brother, who is the reference for your sexiness?
Do you have any suggestions on who to recommend?","","Studying, huh? Who
do you recommend?"
"え！？　なんでいきなり俺に聞くんだ！？
そ、そうだな……お色気の参考か……","","What! Why are you asking me all of a sudden?
Yes, that's right. ...... a reference to sexiness or ......","","Huh!? Why are you asking me all of a sudden!?
Y-Yeah... I guess it's a reference for sex appeal..."
"落ち着いた人かな","","A calm person, I guess.","","I think he's a calm guy."
"お、俺だー！！","","Oh, it's me!","","I-It's me!!"
"落ち着いた人とかどうだ？
物腰が柔らかで、大人の雰囲気を感じると思うぞ","","How about someone calm and collected?
I think you'll find her soft-spoken and mature.","","How about someone calmer?
You've got a soft demeanor and a mature air about you."
"う～ん。ルミナスで落ち着いた人といえば……。
ハッ！　ピカリーン☆　亜美はひらめいたー！","","Hmmm...one person who has settled down in Luminous is .......
Hah! Picareen☆ Ami had an inspiration!","","Hmmm, speaking of calm people in Luminous...
Hah! Picaleen☆ Ami had an epiphany!"
"歌織お姉ちゃんだね！　どうどう？
亜美、お色気を嗅ぎ分けるパワーがあるっしょ","","You must be the singing sister! How's it going?
Ami, you have the power to sniff out sexiness, don't you?","","You're Kaori onee-chan! What do you think?
Ami, you have the power to sniff out sex appeal, don't you?"
"お色気の参考になるのは、お、俺だー！！","","Oh, I'm the one with the sexy reference!","","I-I'm the one who's going to be the sexiness reference!!"
"ええー兄ちゃんが～？　もー全然ベンキョーに
ならないじゃーん。もう亜美、自分で考えるね","","Oh, my brother?
Ami, I'll figure it out on my own now.","","What? You're the one who taught me? Geez, you don't
learn at all. Ami, I'll think about it on my own."
"う、悪ノリして、戦力外通告を受けてしまった……。
俺も役に立つぞ？　えーっとそうだな、えーっと……","","Ugh, I got a bad joke and got a notice of termination from the force: .......
I can be useful, too, huh? Let's see, let's see... ......","","I-I got carried away and got an out-of-control notice...
I can help, too. Let's see, let's see..."
"全然出てこないじゃん！
あ、わかった！　歌織お姉ちゃんとかは！？","","You don't show up at all!
Oh, okay, what about your sister, Utahori?","","It's not coming out at all!
Oh, I know! What about you and Kaori onee-chan!?"
"歌織お姉ちゃんって、あのやさしそーでやわらかそー
な大人ーなフンイキがお色気かもしてるよね～","","I think that sister Utoori looks so gentle and soft.
The adult-like atmosphere is very sexy.","","Kaori-oneechan, you're so sweet and soft-looking, and you've
got a mature air about you that makes you look sexy."
"確かに歌織さんは落ち着いているし、
大人な雰囲気があるな……","","And indeed, Mr. Utori is calm and collected,
You've got a mature vibe. ......","","Kaori-san certainly is calm, and
she has a mature air about her..."
"そんじゃ、さっそく歌織お姉ちゃんをウォッチング
してこようっと☆","","Well then, let's get on with watching your sister, Utahori!
I'm going to do it.","","Well then, let's go watch
Kaori onee-chan☆"
"みんな、まったねー！
亜美は大人のミリキを手に入れてくるよーん☆","","Hey, guys, wait a minute!
Ami is going to get her adult Miriki.","","See you later, everyone!
Ami will get her hands on the adult milliki!"
"歌織お姉ちゃーん、亜美にお色気をデンセン
してくださーい！","","Sister Utahori, please give Ami a little sex appeal.
Please do so!","","Kaori-oneechan, please tell
Ami about your sex appeal!"
"それを言うなら伝授よ！","","That's what I'm talking about!","","If you're going to say that, teach me!"
"行っちゃった……。
亜美、今度は何をしているのかな？","","Gone. .......
Ami, what are you doing now?","","She's gone...
Ami, what are you doing this time?"
"知らないけど、セクシーとか小悪魔とか、そう簡単に
身につくものじゃないってわかってるのかしら","","I don't know, sexy, devilish, or not so easily.
I wonder if they know it's not something you can learn.","","I don't know, but I'm not sure it's
something you can wear so easily."
"ねぇ、あんたはトーゼン、わかってるわよね？","","Hey, you, Tozen, you know what I'm talking about.","","Hey, you know what I'm talking about, right?"
"そうだな……。それに、大人路線は
亜美に合わないと思っているけど……","","Yes, ....... And the adult line is.
I know it doesn't fit Ami, but ......","","Yeah... And I don't think the mature
way of thinking suits you, Ami..."
"でも、亜美なりに真剣に考えているなら、
もう少し様子を見てみたいな","","But if you are serious in your own way Ami,
I'd like to see a little more of this.","","But if you're serious about this,
I'd like to wait and see."
"ふぅん……。
一応考えてるなら、いいけど……","","Hmmm. .......
In case you're thinking about it, though: ......","","Hmm......
Well, if you're thinking about it, that's fine..."
"（とはいえ少し心配だな。
ちゃんと亜美の様子を見守っておこう）","","(I'm a little worried though.
(I'll keep an eye on Ami.)","","(Still, I'm a little worried.)
I'll keep an eye on ami.)"
"（明日は亜美の仕事の打ち合わせだから、
少し準備をしておこう）","","(Tomorrow is Ami's work meeting,
(Let's do a little preparation.)","","(I have a meeting tomorrow about
Ami's work, so I'd better get ready.)"
"うぐっ！　な、なんだ？　この鼻をつく
きつい匂いは！　……香水の匂いか？","","Ugh! What's that? You're sniffing around.
What's that harsh smell! ...... Is that perfume?","","Ugh! Wh-What's this? It's a
really strong smell! ...Is it perfume?"
"ぐるぐるもーにん！　おはよう、兄ちゃん。
では、お仕事のミーティングに出発進行だー！","","Gurumonin! Good morning, brother.
Well, let's get underway for our work meeting!","","*growl* *growl* Good morning, mister.
Then, let's head out to the work meeting!"
"……ものすごい香水の匂いがするけど、
どうしたんだ？","","...... though it smells like an awful lot of perfume,
What's going on?","","...It smells like a lot of
perfume. What's wrong?"
"兄ちゃんがさ、お仕事中の亜美が大人っぽいって
言ってくれたじゃん？","","My brother said that Ami looks mature when she's working.
You told me, right?","","Didn't my brother say that Ami looked
mature while she was at work?"
"だから亜美、お仕事に行く前も、きっちりバッチリ
大人っぽくしようかな～って♪","","So, Ami, before you go to work, make sure you're all done!
I'm thinking of making it more mature...","","That's why I thought I'd make sure to
be mature before I went to work, Ami."
"歌織お姉ちゃん、すっごくいい匂いがしたんだよね。
だから亜美も、香水つけてみたんだよ！","","I thought, ""Utahori-sis, you smelled really good.
That's why Ami tried wearing perfume, too!","","Kaori onee-chan smelled really nice.
That's why Ami tried on perfume!"
"どう、いい匂いがする？
亜美ってば、せくしーで大人っぽいー？","","How do I smell?
Ami is so sesquicentennial and mature?","","How is it? Does it smell good?
Ami, are you sexy and mature-?"
"だから、そうじゃなくてな……。
まず打ち合わせは明日だろ、今日じゃないぞ","","So, that's not what I meant. ......
First of all, the meeting is tomorrow, not today.","","Like I said, that's not what I meant...
The meeting's tomorrow, not today"
"ええっ！　間違えちゃった！？
大人な亜美でもミスはするんだね、ドンマイマイ☆","","What! I made a mistake!
Even mature Ami makes mistakes, don't you know?","","Whaaat!? Did I get it wrong!?
Even an adult like Ami makes mistakes, huh? Don't worry, don't worry☆"
"ま、明後日と勘違いしてお仕事行かないよりは
いいっしょー！","","Well, it's better than mistaking it for the day after tomorrow and not going to work.
That's good, isn't it?","","Well, it's better than not going
to work the day after tomorrow!"
"ポジティブだな……。それから香水がキツすぎる。
いい匂いどころか、気持ち悪くなるレベルだぞ","","Positive. ....... Then the perfume is too harsh.
Not only does it smell good, it's a Level that makes you sick.","","She's so positive......And her perfume is too harsh.
It's not just a nice smell. It's disgusting."
"えー！　そうなの！？
服にどばっと気前よくかけてきたのに！","","Oh, really?
I had generously poured a lot of it on my clothes!","","Whaaat!? Really!?
And here I thought you'd be generous enough to put it on my clothes!"
"今、なんて？","","Now what?","","What did you just say?"
"だからぁ、服に香水ドバーってかけたの！
いっぱいかけたほうがいい匂いでしょ？","","So, I put a dab of perfume on my clothes!
It smells better when you put a lot of it on, doesn't it?","","That's why I sprayed perfume on your clothes!
It smells better if you put a lot on it, right?"
"それでこの匂いか……。
亜美、香水はそんな使い方をするもんじゃないぞ","","So this is what it smells like. ......
Ami, don't use perfume that way.","","So that's why it smells like this...
Ami, you shouldn't use perfume like that."
"ええーっ？　じゃあじゃあ、どうやって使うの？
服じゃないなら……頭にかけるとか？","","What? Well, then, how does it work?
If not clothes, maybe a ...... headband?","","Whaaat? Then how do you use it?
If you're not wearing clothes......why don't you put them on your head?"
"兄ちゃん！　香水の使い方、教えて！","","Brother! Teach me how to use perfume!","","Brother! Teach me how to use perfume!"
"香水の使い方か……","","How to use perfume or ......","","How to use perfume, huh..."
"少しだけつけるんだ","","Put some on.","","Turn it on a little bit."
"手首につけるんだ","","Put it on your wrist.","","Put it on your wrist."
"大人には程遠いな","","You're a long way from being an adult.","","You're far from mature."
"ほんの少しつけるんだ。手首や首筋につけて、
ふんわり香りがするくらいにしておくんだよ","","Put just a little bit on, on your wrists, on your neck,
It's supposed to be softly fragrant.","","Put it on just a little. Put it on your wrists
and neck, and make sure it smells nice and soft."
"ええー！　香水ってそうなの！
ドバーッじゃなくて……ちょっとだけ？","","Ew! Perfume is like that!
Not a dobber, just a little bit of ......?","","Whaaaat!? Is that how perfume works!?
Not 'thwack'... Just a little"
"ああ、自分で匂いが分かるくらいつけると、
周りからすればきついくらいだぞ","","Oh, if you put it on so that you can smell it yourself,
It's so much tougher to get around.","","Yeah, if you put it on yourself enough to smell
it, it'll be pretty hard on the people around you"
"うあうあ～！　亜美、自分でもきついなって
思ってたけど、これが大人のスタイルかな～って！","","Ami, you said it was too hard even for you.
I was thinking, maybe this is the adult style!","","Aaaaah! I thought Ami was tough on herself,
but I thought this was her mature style!"
"ふんわり香るくらいか……。
これぞワビサビってやつだね！","","It's about as softly scented or .......
This is what I call wabi sabi!","","I guess it's enough to give off a light fragrance......
This is what they call rusting!"
"教えてくれてありがと、兄ちゃん♪
亜美、また大人になっちゃったな～","","Thanks for telling me, bro... ♪
Ami, you've grown up again!","","Thanks for telling me, bro♪
Ami, you've grown up again."
"手首とか肌につけるんだ。
服につけたら染みになったりするぞ","","You put it on your wrists or on your skin.
If you get it on your clothes, it can stain them.","","Put it on your wrists and skin.
If you put it on your clothes, it will get stained."
"服に染みが？　あ、ホントだー！
うええー。この服お気に入りなのに～……","","A stain on your clothes? Oh, really!
Ew...even though this dress is my favorite~......","","A stain on my clothes? Oh, you're right!
Whaaat? But I love these clothes..."
"香水って手首とかにつけるんだね。
亜美、また大人になっちゃったな～","","Perfume is put on the wrist or something, right?
Ami, you've grown up again!","","You wear perfume on your wrists and stuff.
Ami, you've grown up again."
"でも兄ちゃん、お肌に香水つけたら、
体中がびちゃびちゃになっちゃわない？","","But brother, if you put perfume on your skin,
Won't it get all over my body?","","But if you put perfume on your skin,
won't it make your whole body wet?"
"いや、量は加減してくれ……","","No, you can add or subtract the amount: ......","","No, hold back on the amount..."
"そんな使い方をしていちゃ大人には程遠いな","","You're a long way from being an adult if you're using it like that.","","You're far from an adult if you're using it like that."
"それじゃー使い方わかんないよ！
どうやって使うの？　ハッ！　まさか……飲むの！？","","Then I don't know how to use it!
How does that work? Ha! Don't tell me you drink ......!","","Then I don't know how to use it!
How do you use it? Hah! Don't tell me...you're going to drink it!?"
"いやいや、飲まないから。香水は
手首とか首筋とかに少しだけつけるんだよ","","No, no, I don't drink.
You put a little bit on your wrist or your neck or something.","","No, no, I'm not going to drink it. I'm going to
put a little perfume on your wrists and neck."
"ちぇー。内面からいい匂いがするって、大人っぽい
って思ったのにな―。いおりんも言ってたし！","","Wow, smelling so good from the inside is so mature!
I thought, ""What's wrong with that?","","Tch. I thought you smelled nice on the inside, so
I thought you were mature. Iorin said so too!"
"内面っていうか、全体で匂いを発しているけどな。
あと伊織が言ってたのは、そういう意味じゃないぞ？","","I mean, I smell it on the inside, or rather, the whole thing, though.
And that's not what Iori meant, okay?","","It's more like she's giving off a scent on the inside.
Also, that's not what Iori meant."
"とにかく今の亜美は匂い爆弾になってるから、
できればレッスンウェアとかに着替えてきてくれ","","Anyway, Ami is a smell bomb now,
Go change into your lesson clothes or something if you can.","","Anyway, Ami's a smell bomb now, so if you
can, please change into your lessonwear."
"そんなにー！？
せっかく香水つけて大人っぽくしたのに……","","So much!
I went to the trouble of putting on perfume to make it look more mature. ......","","That many-?!
I put on some perfume to make it look more mature..."
"いいか、亜美。大人は見た目やマネをしてなるもの
じゃない、考え方や心、中身のものが大事なんだ","","Listen, Ami, adults are what they look like and what they become.
It's not about what you think, it's about what's in your mind, your heart, what's inside that counts.","","Listen, Ami. Adults aren't meant to look and act like adults,
they're meant to have a way of thinking, a heart, and what's inside."
"そもそも大人のミリキばかり気にしているけど、
亜美の本当のミリキって、それなのか？","","To begin with, though, I'm only concerned about adult Miriki,
Is that the real Miriki of Ami?","","I'm always worried about adult Miki,
but is that really the real Miki Ami?"
"そんなこと言われたって……亜美こそ聞きたいよ～！
みんな、違うとかダメとか言うばっかりで……","","I'd love to hear you say that ...... Ami is the one I want to hear it from!
Everyone just says different or no. ......","","Even if you say that... Ami wants to hear it too~!
Everyone kept saying things like that..."
"亜美だって、よく分からなくなるよー！","","Even Ami gets confused!","","I don't even know what you're talking about anymore, Ami!"
"（亜美も悩んでいたのか……！）","","(Ami was also troubled by ......!)","","(Ami's worried, too...!)"
"悪かった、亜美は真剣に考えてたんだな。
俺も今一緒に考えてみるよ","","My bad, Ami must have been taking it seriously.
I'll figure it out with you now too.","","I'm sorry, Ami was thinking seriously.
I'll think about it with you now."
"あれ、兄ちゃんでもすぐ答えは出ないんだ？
なんだ、亜美と一緒じゃん☆","","Oh, even my brother doesn't get an answer right away?
What? You're just like Ami!","","Huh? You don't have an answer right away?
Oh, you're with Ami☆"
"つまりー、今、亜美と兄ちゃんは亜美のミリキに
ついて、悩みに悩んでる仲間ってことだね","","So - now Ami and her brother are in Ami's Miriki.
I guess that means we're all friends in trouble.","","In other words, Ami and Onii-chan are
friends who are worried about Ami's Miki."
"うん、よく分からないけど、そういうことに
しておこっか☆","","Yeah, I don't know, but that's what I'm trying to do.
I'll do it.","","Yeah, I don't really get it,
but let's leave it at that. ☆"
"どういうことなんだ……。
というか切り替えがはやいな……","","What does that mean? .......
I mean, you switch so fast. ......","","What's going on here......?
Man, she sure switched gears quickly..."
"とりあえず亜美は着替えてくんね～","","In the meantime, Ami, go change your clothes.","","Anyway, ami, get changed."
"うーん、思ってたよりも大人のミリキの道って
イバラでトゲトゲなんだなー……","","Hmmm, the way of the adult Miriki is more than I thought it would be.
You're a spiky, spiky thing with thorns. ......","","Hmm, I didn't think the path of
adult Miki would be so thorny..."
"（亜美だって悩みながら模索しているんだ。
こんな時こそ俺が道を示してあげたい……）","","(Even Ami is searching for it, worrying about it.
It's times like this I wish I could show you the way (......)","","(Ami is also worried as she tries to find something.
(It's times like these that I want to show him the way...)"
"（あれは……亜美？　なにをしているんだ、
こんなところで。少し様子がおかしいような……）","","(Is that ...... Ami? What are you doing?
(Here's the place...seems a little strange ......)","","(Is that...Ami? What is she doing here?
She seems a little strange...)"
"亜美、こんなところで何をしているんだ？","","Ami, what are you doing here?","","Ami, what are you doing here?"
"んー……ぶらぶらぶらり旅？
亜美は旅にデマシタ、探さないでクーダサーイ","","Hmmm... ...... wandering around?
Ami is on a trip, please don't look for her.","","Hmm... A wandering trip?
Ami, you're on a journey. Don't go looking for her."
"いや探さないでも何も……もう見つけた後だしな","","No, I'm not looking for it, but I'm not going to look for it or anything. ...... after I've already found it.","","No, I won't. But I've already found it."
"むむっ！？
兄ちゃん、それはカラアゲ取りだよー！","","Mmm!
Brother, that's karaage-taking!","","Mmm!?
That's fried chicken, mister!"
"カラアゲ……ああ、揚げ足取りのことか。
いや、それよりどうしたんだ？","","Kalaage...... Oh, you mean fried.
No, what's more important?","","Fried chicken...? Oh, you mean the fried chicken?
No, more importantly, what's going on?"
"むむ～……。亜美……あれからまた、
大人のミリキについて考えてたんだけど……","","Mmm~....... Ami...... again since then,
I was just thinking about adult Miriki: ......","","Hmm... Ami... I've been thinking
about adult Miki again..."
"そしたら、頭がぐるぐるしてきたんだよー。
だからお散歩してたの","","Then my head started to spin!
So I took a walk.","","And then my head started spinning.
That's why I was taking a walk."
"大人のミリキ、亜美的にチョー頑張ったのに～。
どーすれば身につくの～？","","Adult Miriki, I did my best to be Ami-like chooooooooooooooooooooooooooooooooooooooooooooooooo!
How can I learn to do this?","","Even though the adult Miki tried so hard to be like Ami...
How can I learn that?"
"せくしーなポーズもお色気ムンムン香水も違うん
だったら、もう亜美、分かんないよ～！","","The sexy pose and the sexy perfume are different.
Then, Ami, I don't know anymore!","","If the sexy poses and sexy perfumes are
different, then I don't know anymore, Ami!"
"悪い、真剣に考えてたのに気付いてやれなかったな。
俺も一緒に……","","Sorry, I didn't realize you were being serious.
I'm with you ......","","Sorry, I didn't realize I was thinking seriously about it.
I'll come with you..."
"亜美、兄ちゃんの言ってることが
一番ぐるぐる迷宮入りしちゃうんだよ～","","Ami, what my brother is saying.
I get lost in the most roundabout way.","","Ami, what you're saying is
the most unsolved of all "
"兄ちゃんの言ってた『中身』って、
おにぎりで言ったら『具』ってことでしょ？","","My brother was talking about 'substance',
If you say ""onigiri"", you mean ""garnish"", right?","","When you say '  Inside  "",' you
mean   Gu  "" onigiri, right?"
"そしたら、『見た目』は『白いご飯』だよね？","","Then the 'look' is 'white rice,' right?","","Then,   Looks  "" is   White rice  "", right?"
"そんでそんで、具もご飯もどっちも、
おにぎりには大事だよねー？","","And then, both the ingredients and the rice,
It's important for onigiri - right?","","And so, both the rice and the
ingredients are important for onigiri, right?"
"だから亜美、まずはご飯をビッグにしよーって
思ったんだけど、それって間違えてるのかな？","","So, Ami, let's make a big meal first.
I thought, is that a mistake?","","That's why I wanted to make the rice
big first, Ami. Am I making a mistake?"
"そこまで間違えてはいないけど……。
そうだな、なら、おにぎりで言うと、今の亜美は……","","I'm not that wrong, but .......
Well, then, in onigiri terms, Ami is now ......","","I'm not that wrong, but...
That's right, then, in terms of onigiri, the current Ami is..."
"バランスが悪い","","imbalanced","","It's unbalanced."
"具が決まっていない","","The ingredients are not set in stone.","","There's no filling."
"具がないおにぎり","","Onigiri without ingredients","","Onigiri without fillings"
"具とご飯のバランスが悪い。このままだと亜美は、
具が少なくてご飯ばっかりのおにぎりになるぞ","","The balance between the ingredients and the rice is not right; if it continues like this, Ami,
You'll end up with a rice ball with few ingredients and all rice.","","The rice and the ingredients aren't balanced. At this rate,
Ami will only end up eating rice balls with so few ingredients."
"具が少なくてご飯ばっかりのおにぎり！？
それは一大事！　大事件だよ、兄ちゃん！","","Onigiri with few ingredients and all rice!
That's a big deal! It's a big deal, brother!","","There aren't many ingredients, and all you get is rice balls!?
That's a big deal! It's a big deal, mister!"
"亜美、具だくさんのおにぎりのほうがスキ！
具がおっきなおっきいおにぎりがダイスキだよ","","Ami prefers rice balls with a lot of ingredients!
I love big onigiri with big ingredients!","","Ami, I like onigiri with fillings better!
I love big onigiri with big fillings."
"あれ？　亜美のお腹がぐーぐーなりだした。
これはおにぎりを食べないと解決できないっぽいよ","","Ami's stomach started growling.
This sounds like you need to eat a rice ball to fix this.","","Huh? Ami's stomach started to growl.
It looks like we won't be able to solve this unless we eat onigiri."
