"改めまして……コホン。
はじめまして！　プロデューサーさん！","","Once again, ...... Kohon.
Nice to meet you, producer!","","Allow me to introduce myself... Ahem.
Nice to meet you, Mr. Producer!",""
"今日このステージに立って、
もっと頑張ろうって、初心に帰れてよかったです","","Standing on this stage today,
I'm glad I went back to the drawing board to work harder.","","I'm glad that you were able to stand
on stage today and work even harder.",""
"そうか、菜々も地道にコツコツ頑張ってきたから
今があるんだよな","","Well, Nana has been working steadily and diligently.
You're here now, aren't you?","","I see. You've been working really
hard, so you still have it now...",""
"俺も菜々にならって初心に帰ってみるよ。
菜々、これからも、一緒に頑張っていこう！","","I'll follow Nana's lead and go back to the basics.
Nana, let's continue to work hard together!","","I'll follow your example and go back to the basics.
Nana, let's do our best together from now on!",""
"はいっ、プロデューサーさんっ！
これからもよろしくお願いしますっ！","","Yes, Mr. Producer!
Thank you for your continued support!","","Yes, Mr. Producer!
I'm looking forward to working with you from now on!",""
"（菜々のため、そしてウサミンワールドのため、
俺にできることをもう一度考えてみよう！）","","(For Nana and for Usamin World,
Let's see what I can do again!)","","(For Nana's sake, and for Usamin World...
I have to think about what can be done!)",""
"ふぃぃ……。なんだか最近、
疲れが取れませんね～……","","Fwiw ....... kind of recently,
I'm not tired... ......","","Phew... I haven't been able to
get rid of my fatigue lately.",""
"ライブのあとは、体を労ってあげないと……。
いてて、あとに響いちゃうんですよね～","","After a live concert, you need to work on your body. ......
I'm not sure if it's a good idea, but it's not a good idea.","","After the concert, I'll have to take care of her...
Ow, ow! It's going to echo later on. Right?",""
"どうした菜々？
随分と疲れてるみたいじゃないか","","What's wrong, Nana?
You look very tired.","","What's wrong, Nana?
You look pretty tired.",""
"ひゃあぁ！？　ぷ、プロデューサーさん！
いつからそこに！？","","Hyah! Psst, Mr. Producer!
How long have you been there!","","Whaaat?! M-Mr. Producer...
How long have you been there!?",""
"いつからって……。菜々がため息を、
ついているときあたりからだけど……","","When did this happen? ....... Nana sighs,
From around the time I was on ......","","When did you start...? I mean, when Nana was sighing to
herself and all that stuff. That's where it started for me too",""
"そ、それはなにかの見間違いですっ！
ナナは疲れてなんかいませんよっ！　キャハッ☆","","Well, you must have seen something wrong!
Nana is not tired!","","Y-You must be seeing things!
I'm not tired at all! Kyaha☆",""
"ほらほら、こ～んなに踊れるくらい、
元気いっぱいです！","","Look, look, I can dance like this,
They are full of energy!","","Come on, I'm so full of energy
that we can dance like this!",""
"な、菜々。急にそんな無茶な動きをしたら……","","Hey, Nana, if you suddenly make such a reckless move, ......","","N-Nana, if you move so recklessly all of a sudden...",""
"はうっ！　い、いたたっ……！
さ、さすがに調子に乗りすぎた……かもしれません","","Hah! It was there. ......
Sigh, maybe I'm indeed getting too carried away ......","","Hauu! O-Owow...
I-I may have gotten too carried away...",""
"だから言ったのに……。
無理が重なって、身体が悲鳴を上げてるんだ","","That's why I told you. ......
I've been pushing myself too hard, and my body is screaming.","","That's why I told you...
My body screams when I push myself too hard.",""
"そ、そんなことありませんよ！
ナナは、若いので……","","That's not true!
Nana is young and ......","","Th-That's not true at all!
Nana is young, so...",""
"年齢に関係なく、無理はするもんじゃないぞ。
そうだ、マッサージをしてあげようか","","Don't overdo it, no matter what your age.
Yes, I can give you a massage.","","Regardless of your age, don't push yourself too hard.
Oh, I know. How about a massage?",""
"えっ、マッサージですか……♪
しかも、プロデューサーさんに……！","","What, a massage? ......♪
Moreover, you can contact Producer at ......!","","Huh? A massage...♪ And
to Producer, too!",""
"そ、それはちょっと照れちゃいますけど……。
じ、じゃあ、少しだけお願いします","","Well, that's a little embarrassing. ......
Ji, well, I'll just have a little bit of it, please.","","I-I'm a little embarrassed, but...
Th-Then, please give me a little bit of your time. I'd like to try it out myself sometime in the future as well",""
"ああ、任せてくれ。じゃあまずは……","","Yeah, I'll take care of it, then I'll start with ......","","Yeah, leave it to me. First up is...",""
"肩をタッチ","","Shoulder touch","","Touch her shoulder",""
"腕をタッチ","","","","Touch her arm",""
"その他（タッチ）","","Other (touch)","","Other (touch)",""
"何もしない・時間切れ","","Nothing to do/time is running out","","I won't do anything. Time is up!",""
"あ゛あ゛あ゛～……気持ちいいです～♪","","","","Ahh, ah... It feels so good~",""
"はぁぁ、そこそこ～。
あ～、極楽極楽～……サイコーです～♪","","Hah, there you go~.
Ahhh, paradise paradise~...... is the best~♪","","*sigh* Not bad...
Ahh, this is paradise... It's the best♪",""
"（すごい凝りようだ……。俺の知らないところでも
菜々は努力をしているんだろうな）","","(Great elaboration, ....... I don't even know what I'm talking about.
(Nana must be making an effort)","","(She's really into it... I guess she must be putting in a
lot of effort, even if there are some things unknown to me.)",""
"ああ～……プロデューサーさん、
もう少し強めに押してもらえませんか～？","","Oh~ ...... producer,
Could you please push a little harder?","","Ahh... Couldn't you push it
a little harder, producer?",""
"そ、そこです～！
はぁ～。お上手ですね、いい力加減です～！","","So, there it is~!
Hah~ You are very good...good power!","","Th-That's it!
Wow, you're really good at this. You put a lot of force into it too!",""
"（かなり腕が張っている……。
菜々も苦労をしているんだな……）","","(Quite a stretch of the arm. .......
(Nana is having a hard time too. ......)","","(She's pretty tense...)
Nana's having a hard time too, huh...)",""
"ん？　プロデューサーさん、
今どこか触りましたか？","","Hmm? Producer,
Did you just touch anywhere?","","Hm? Did you touch something
just now, Producer-san...",""
"ち、ちょっと、力加減を試してみただけだ……。
気を取り直して、マッサージを始めるぞ！","","Hey, I was just testing the force. ......
Let's get back on track and start massaging!","","I-I was just testing my strength...
Let's get this massage started!",""
"えっと、プロデューサーさん？
マッサージをしてくれるんじゃ……？","","Uh, Mr. Producer?
I thought you were going to give me a massage ......?","","Um, are you a producer?
I thought you were going to give me a massage...?",""
"ごめん。どこからやろうか迷ってしまって……
気を取り直して、肩からマッサージしよう","","Sorry...I wasn't sure where to start: ......
Let's get back on track and start massaging from the shoulders.","","Sorry. I'm not sure where to start...
Let's pull ourselves together and give her a shoulder massage.",""
"よいしょ……っと。
この辺りはどうだ、菜々？","","Good idea: .......
How about around here, Nana?","","There we go...
How about around here, Nana?",""
"……ふぁい。気持ちいい……ですよ～","","...... whew, it feels good to be ......~!","","Yeah. It feels... good, you know?",""
"そうか、それならよかった……。
って、菜々。聞いてるか、菜々？","","Well, that's good to know. ......
Are you listening to me, Nana?","","I see. That's good to hear...
Wait, Nana. Are you listening?",""
"はい～プロデューサーさん……。
いつも、ありがとう……ございましゅ……すぅ～","","Yes - please contact Producer at .......
Thank you ...... for everything ...... soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo","","Yes, Mr. Producer...
Thank you... as always. *sniff* Mmmph, mmphhmmgfffftt!!!",""
"……まさか、今のマッサージで寝てしまったのか？","","...... Don't tell me you fell asleep with that massage you just had?","","...Don't tell me she fell asleep from that massage?",""
"すぴ～……ふにゃ～……","","Supi~......Funny~......","","Zzz... *mumble*",""
"相当、疲れていたみたいだな……。
とりあえず、ソファまで運んでやるか","","It sounds like you were quite tired. ......
Let's just get him to the couch.","","She must have been really tired...
Anyway, let's get you to the couch.",""
"えへへっ……。ウサミンワールド……絶対に……。
ナナ、頑張りましゅ……","","Ehehe. ....... Usamin World ...... absolutely .......
Nana, good luck ......","","Heheh... Usamin's world, no matter what.
Nana will do her best...",""
"（ウサミンワールドの企画者さんと、
打ち合わせをしに来た……）","","(With Usamin World's planner,
(I'm here for a meeting: ......)","","(I'm here to have a meeting with
the planner of Usamin World...)",""
"ルミナスでの活躍に、個人での活躍。どちらも
菜々さんの個性が輝いていて、素晴らしいですね！","","Both in Luminous and individually.
Nana's personality shines through and it's wonderful!","","You've done so much for Luminous and yourself.
Both of you have such a unique personality!",""
"ありがとうございます！　おかげさまで、
ファンの数も着実に増えています","","Thank you very much! Thanks,
The number of fans is steadily increasing.","","Thank you very much! Thanks to your help,
the number of fans has steadily increased.",""
"はいっ！　ウサミンワールドのために、
一生懸命頑張ってきました！","","Yes! For Usamin World,
I have worked very hard!","","Yes! I've been working hard
for the sake of Usamin World.",""
"そこで、本格的にウサミンワールド開園に向けて、
始動していきたいのですが……","","So, for the opening of Usamin World in earnest,
I'd like to get started: ......","","▁Therefore, I'd like to begin the
opening of Usamin World in earnest...",""
"本当ですか！　あ、ありがとうございます！
菜々、やったぞ！","","Really! Oh, thank you very much!
Nana, we did it!","","Really? Th-Thank you so much!
I did it, Nana!",""
"本当に本当に、ありがとうございますっ！
ウサミン、感激です！","","Thank you so very, very much!
Usamin, I am very impressed!","","Really, really thank you very much!
Usamin, I'm so touched!",""
"うぅぅ……ついに、ウサミンワールドが
実現するんですね……！","","Ugh ...... finally, Usamin World!
It's going to happen. ......","","Ugh... So Usami World is
finally going to be realized!",""
"あ、あの。すみません……。本格的に
始動するためには、ひとつ条件がありまして……","","Oh, um, sorry, ....... in earnest.
There is one condition to get it started: ......","","U-Um, excuse me... There's one
condition before we can really get started.",""
"条件……ですか？","","Terms ......?","","Conditions...?",""
"はい、弊社の社長から許可が降りなければ、
ウサミンワールドの開発を始動できないんです","","Yes, unless permission is granted by our president,
We can't start developing Usamin World.","","Yes. Without permission from our president, we can't start the
development of Usamin World without it first being approved by us",""
"社長を説得させるためには、
菜々さんの実績が必要でして……","","To persuade the president,
We need Nana's track record to ......","","In order to persuade the president,
we need Nana-san's achievements...",""
"菜々の実績という意味でしたら、こちらの
ライブ資料を参考にしていただければ――","","If you mean Nana's track record, you can find it here.
If you refer to the live materials--","","If you mean Nana's achievements, please
refer to the concert materials here.",""
"い、いえ！　今のナナだったら、
この倍のお客さんを集められますっ！","","No, no! If it were Nana now,
We can attract twice as many customers as this!","","N-no! I can gather twice as
many customers now, Nana!!",""
"な、菜々？","","Hey, Nana?","","N-Nana?",""
"本当ですか！　それほどのライブが行えるのでしたら
社長を説得することができます！","","Really? If you can do that many gigs, you can do that many gigs.
You can persuade the president!","","Really?! If we can hold a concert like that,
then I'll be able to convince the president.",""
"たっくさんの人を集めることができたら、
ウサミンワールドは開園できるんですよねっ！？","","If we could get a lot of people together,
Usamin World can open, right!","","If we can get lots of people together, then
Usamin World will be able to open its doors!",""
"もちろんです！　菜々さんのファンの人数が、
ウサミンワールドの集客人数の目安となりますから","","Of course! The number of Nana's fans,
Because it is a rough estimate of the number of visitors Usamin World attracts.","","Of course! Nana-san's number of fans will be the standard
for how many people come to visit Usamin World.",""
"次のライブ、頑張ってください！　私も
ウサミンワールドの開園を、楽しみにしています！","","Good luck with your next gig! Me too!
We are looking forward to the opening of Usamin World!","","Good luck with your next concert! I'm looking
forward to the opening of Usamin World, too.",""
"ありがとうございます。
今後ともよろしくお願い致します……","","
Thank you for your continued support: ......","","Thank you very much.
I look forward to working with you in the future...",""
"（ウサミンワールドの企画者さんが帰った後、
菜々とふたりで打ち合わせをすることにしたが……）","","(After the Usamin World planner left,
(Nana and I decided to have a meeting with her. ......)","","(After the planner from Usamin World left,
I decided to have a meeting with Nanaka...)",""
"ごめんなさい、プロデューサーさん……。
ナナが勝手なことを言ったりして……","","Sorry, producer, .......
Nana can say whatever she wants. ......","","I'm sorry, Mr. Producer...
Nana said something selfish...",""
"そうだな。急に提案するんじゃなくて、
あの場で俺にひと言、聞いてほしかったな","","Yes, don't make sudden suggestions,
I wish you could have asked me a question right then and there.","","Yeah. I wish you'd just let me hear what she had to say at the time,
instead of making a sudden proposal like that outta nowhere",""
"ただ、俺も菜々と同じ考えだったよ。
菜々が努力を決意する姿を見せるのは良かったぞ","","But I was thinking the same thing as Nana.
Nice to see Nana show her determination to work hard.","","I was just thinking the same thing as Nana.
It was good to see you make up your mind.",""
"ぷ、プロデューサーさん……！
ありがとうございます～！","","Ps, Producer: ......!
Thank you~!","","P-Producer!
Thank you so much!",""
"で、でも。あれだけ大きなことを
言っちゃったからには実現させないと……","","But, but...that big of a deal.
Now that I've said it, we need to make it happen: ......","","B-But you said something so big,
we have to make it a reality...",""
"今のナナがあんなにたくさんの
お客さんを集めるのは……難しいでしょうか？","","Now Nana has so many of them.
Is it difficult to get customers to ......?","","Would it be difficult for Nana to
attract so many customers right now?",""
"うーん……。
すぐに答えを出せる訳じゃないが……","","
Not that I can give you an answer right away. ......","","Hmm......
I can't give you an answer right away, but...",""
"やれるだけやろう","","Let's just do what we can.","","Let's do what we can.",""
"もうやるしかない","","We have to do it now.","","We're gonna have to do this.",""
"無理かもしれない","","It might be impossible.","","I don't think we can.",""
"取り消してもいい","","I can take it back.","","I'll take it back.",""
"やれるだけのことをやってみよう。
挑戦することに意義があるからな","","Let's do as much as we can.
It's worth the challenge.","","Let's do what we can.
There's a point to trying.",""
"そうですよね、プロデューサーさんっ！
ナナ、不安で弱気になっちゃってました","","That's right, right, producer?
Nana, I was so anxious that I felt weak.","","Isn't that right, producer?!
Nana's worried and fainted.",""
"もう言っちゃったものはやるしかないんですよねっ！
よーしっ、ウサミン、絶対に達成して見せますっ！","","Once I've said it, I have no choice but to do it!
Okay, Usamin, I will definitely show you what I have achieved!","","I've already told you, so we have no choice but to do it!
All right, Usamin! I'm going to win this for sure.",""
"ああ、その意気だ！　俺も全力でサポートするから、
一緒に過去最大規模のライブ、成功させよう！","","Yeah, that's the spirit! I'll do my best to support you too,
Let's make this the biggest live show ever together, and let's make it a success!","","That's the spirit! I will do everything in my power to support you, so
let us make this concert a success that has never happened before.",""
"プロデューサーさんっ！　ナナの側にいてくれるのが
プロデューサーさんで、本当に良かったです……！！","","Producer, you're the one who is by Nana's side!
I'm so glad you are a producer. ......!","","Producer! I'm so glad you
were by my side, Nana...!!",""
"無理でもなんでも、やるしかないぞ。
今までだってそうしてきただろ","","You can't do it, but you have to do it.
That's what you've always done.","","Even if it's impossible, I have no choice but to try.
You've been doing that for a long time.",""
"ハッ、そうですよね！　今までも、無理かもって
思うことは何度もありましたけど……","","Ha, I know, right! I've always thought it might not be possible.
There were many times when I thought ......","","Hah, that's true! I thought it might
be impossible many times before...",""
"一緒に乗り越えてきましたよね！
ナナ、精一杯頑張ってみますっ！","","We got through it together, didn't we?
Nana, I will try my best!","","We've overcome this together!
Nana will do her best!",""
"正直、無理かもしれないと思わなくもない。
でも、だからって諦められる菜々じゃないだろ？","","Frankly, I can't help but think it might be impossible.
But that doesn't mean you can give up, right Nana?","","Honestly, I think it might be impossible.
But that doesn't mean she can give up, does it?",""
"はい……。大勢のファンの前でライブをすることも、
ずっと見てきた夢のひとつです","","Yes, ....... I also perform live in front of a large crowd of fans,
It's one of those dreams I've had my whole life.","","Yes... It's one of the dreams I have for a long
time, holding concerts in front of so many fans.",""
"その道のりにはいろんな不安がありますけど……。
プロデューサーさんとなら、難しくても頑張れます！","","There are many uncertainties along the way, though. ......
With Producer, I can do my best even if it is difficult!","","There are a lot of worries on the way, but...
If it's with Producer, I can do my best even if this is difficult!",""
"菜々が不安なら、取り消してもいいんだぞ。
ウサミンワールドだって、またチャンスが来るさ","","If you're worried about Nana, you can cancel it.
Even Usamin World will get another chance.","","If you're worried about Nana, I can take it back.
Even in Usamin World, you'll get another chance.",""
"でも、せっかく今のナナに期待してくださったのに、
本当にそれでいいんでしょうか……","","But you have given us such high expectations for Nana now,
Are you sure that's what you want to do? ......","","But, even though you had such high hopes
for me right now. Is that really okay...?",""
"プロデューサーさん！　一度約束したことを
取り消すなんて、ナナにはやっぱりできませんっ！","","Mr. Producer! You promised me once.
Nana can't cancel it!","","Mr. producer! I can't take back
the promise we made once again!!",""
"菜々……！　そうだな、一緒に最善を尽くそう！","","Nana_......! Yes, let's do our best together!","","Nana...! Yeah, let's do our best together.",""
"……プロデューサーさん、これからも
ずっとナナのことを支えてくれますか？","","...... producer, keep up the good work!
Will you always support Nana?","","...Will you continue to
support Nana from now on?",""
"もちろんだ。
どんな時も一番近くで応援してるぞ","","
I'll be rooting for you the closest at all times.","","Of course it is.
I'll always be cheering you on from the sidelines.",""
"ありがとうございます……。
プロデューサーさんの言葉、すごく心強いですっ！","","
Producer's words are very encouraging!","","Thank you very much...
Producer's words are really reassuring!",""
"よぉ～し！　ファンのためにも、
プロデューサーさんのためにも頑張るぞ～！","","Yo~! For the fans,
I'll do my best for Producer!","","All right! I'm gonna do my best
for the fans and even our producer.",""
"（菜々のレッスンの見学に来たのだが……）","","(I came to observe Nana's lesson at ......)","","(I came to watch Nana's lessons, but...)",""
"どうした、菜々。
レッスンに集中できてないように見えるぞ？","","What's wrong, Nana.
You don't look like you're focused on the lesson, do you?","","What's wrong, Nana?
You don't look like you can concentrate on your lessons.",""
"ごめんなさい。
レッスンはちゃんとしてるつもりなんですけど……","","I'm sorry.
I think I'm doing the lessons right. ......","","I'm sorry.
I'm trying to give them a proper lesson, but...",""
"ライブのことを考えてるんだろ？","","You're thinking live, right?","","You're thinking about the concert, right?",""
"はぅぅ……。
ごめんなさい、ナナが口を滑らせたせいで……","","Huh. .......
Sorry, Nana slipped up. ......","","Hauu...
I'm sorry, it was my fault for slipping up....",""
"プレッシャーで押しつぶされちゃいそうですけど、
プロデューサーさんにも迷惑かけちゃいましたよね","","I feel like I might be crushed by the pressure,
I'm sorry you had to go through that with Producer.","","I'm sure the pressure will crush you, but it
must have caused a lot of trouble for our producer.",""
"この前はあんなに強気だったじゃないか。
弱々しくなっている風に見えるぞ？","","You were so bullish the other day.
You look like you're getting weaker, okay?","","Didn't you have such a strong attitude the other day?
You look like you're getting weaker.",""
"す、すみません……。でも、考えれば考えるほど
プレッシャーを感じてしまって……","","Sorry, sorry. ....... But the more I think about it, the more I think about it.
I felt so much pressure. ......","","I-I'm sorry... But the more you think
about it,the pressure gets to me.",""
"それにプロデューサーさんも巻き込んでしまって……
ナナ、どうすればいいんでしょうか！？","","And I got Producer involved: ......
Nana, I don't know what to do!","","I got Producer involved in this, too...
Nana, what should I do!?",""
"確かに、プレッシャーは大きいよな。
まあでも、こういう時は……","","Sure, there's a lot of pressure.
Well, but in this case, ......","","She's right. The pressure is too great for her own good, huh?
But at a time like this...",""
"魔法をかけよう","","Let's do some magic.","","Let's cast a spell.",""
"一緒に考えよう","","We'll figure it out together.","","Let's think about it together.",""
"気楽にいこう","","take it easy","","Let's take it easy.",""
"魔法をかけたらどうだ？　この前俺にかけてくれた、
元気が出る魔法を自分にかけるんだ","","Why don't you cast a spell? You cast a spell on me the other day,
Cast an energizing spell on yourself.","","Why don't you cast a spell on yourself?
The one that gave me energy the other day.",""
"魔法、ですか……。
今のナナには、できないかもしれません……","","Magic, or .......
Now Nana may not be able to ......","","Magic, you say...?
I might not be able to do it right now....",""
"そうだ、ナナじゃなくてプロデューサーさんが、
魔法をかけてくれませんかっ！？","","Yes, Producer, not Nana,
Will you please work your magic!","","Oh, I know! Why don't you cast
a spell on me instead of Nana?",""
"えっ、俺！？
俺は魔法なんか使えないぞ！？","","What, me!
I can't do magic!","","Huh, me!?
I can't use magic!",""
"そんなことありません！　プロデューサーさんなら、
ナナに素敵な魔法をかけられるはずですっ！","","That's not true! If you are a producer,
It should be able to cast a wonderful spell on Nana!","","That's not true! Producer should be
able to cast a wonderful spell on me.",""
"さあ、プロデューサーさん、お願いしますっ！
ウサミ～ン、パワ～ッ！　ですよっ。どうぞ！","","Come on, producer, please!
Here you go!","","Come on, Mr. Producer!
Usamiiiiiing, power! Here you go.",""
"う、ウサミ～ン、パワ～ッ！
ど、どうだ？　少しは元気が出たか？","","U, Usami~n, power~!
How are you doing? Feeling a little better?","","S-Sweet bunny, power!
H-How is it? Feeling better now, I see.",""
"うう～っ！　ありがとうございますっ！
ナナ、元気がみなぎってきましたっ！","","Ughhhh! Thank you very much!
Nana, I feel so energetic!","","Ugh! Thank you so much, n.
Nana, I'm full of energy!",""
"それは一緒に考えていこう。
ひとりで考えていても、悪いことしか浮かばないぞ","","We will figure that out together.
You're alone with your thoughts, only bad things will come to mind.","","Let's think about that together.
Thinking on your own won't get you anywhere but bad thoughts.",""
"そうですね……。失敗するイメージしか浮かばなくて
どんどん怖くなっちゃって……","","Yes, ....... I could only picture it failing.
It's getting scarier and scarier. ......","","You're right. All I can think of is failure, and it
just keeps getting scarier with each passing second......",""
"前向きに前向きに、ナナらしく！
って、思ってるんですけどね……","","Be positive, forward-looking, and nana-like!
I'm thinking ......","","Positively, positively. Just like Nana!
That's what I think, at least...",""
"気楽にいこう。
どんなに考えたって、現状は変わらないんだから","","Let's take it easy.
No matter how much you think about it, the status quo will never change.","","Let's take it easy.
No matter how hard I think about it, the situation doesn't change.",""
"気楽になんてできないですよぉ～……。
うぅ、ナナ、どうなっちゃうんでしょう……","","I can't take it easy... ......
Ugh, Nana, what's going to happen to you ......","","I can't take it easy...
Uu, Nana... I wonder what's going to happen.",""
"あんまり気負わなくていいんだぞ。
菜々がライブを成功させればいいだけの話だ","","You don't have to get too worked up about it.
All we need is for Nana to pull off a successful live show.","","You don't have to get so worked up.
All I have to do is make the concert a success.",""
"はうっ！　それが一番難しいことだって、
分かってて言っていませんか～？","","Hah! He said that's the hardest thing to do,
Don't you know what you're talking about~?","","Hah! You know that's the hardest
thing to do, right?",""
"まあ、そうなんだが、
今、菜々には前を向いていてもらわないと……","","Well, yes,
Now we need Nana to look forward: ......","","Well, that's true. But I need
you to look ahead right now...",""
"分かってます、分かってますよ。
プロデューサーさんのお気持ちは","","I know, I know.
How do you feel about Producer?","","I know, it's okay.
How does Producer feel?",""
"ナナもちゃんと前を向いて、頑張らなくちゃって
思ってるんです。でも……","","Nana also had to look forward and do her best.
I'm thinking...but ......","","Nana thinks she has to face forward
and do her best, too. But...",""
"失敗するのがそんなに怖いか？","","Are you really that afraid of failing?","","Are you that afraid of failure?",""
"それは……。やっぱり怖いですよ……。
みんなと頑張って、やっとここまで来たのに……","","That's ....... I'm still scared of .......
I worked hard with everyone and finally got here. ......","","That's... really scary.
I worked so hard with everyone to get this far...",""
"失敗しても、これまでの努力は消えない。
また最初からやり直せばいいだけだ","","Failure will not erase the efforts that have been made.
We just have to start all over again.","","Even if I fail, all my efforts won't go away.
We just have to start over again.",""
"俺たちは、まだまだこれからだ。
だから、何度だってやり直せるさ","","We're just getting started.
So we can do it all over again.","","We still have a long way to go.
So you can start over as many times.",""
"そ、そうですよね！　ウサミンは永遠の１７歳！
チャンスは何度だってやってきますよねっ！","","Yes, that's right! Usamin is forever 17 years old!
Chances come again and again, don't they?","","Th-That's right! Usamine is eternally seventeen years old.
We'll have as many chances to do this, right?!",""
"ピピッ♪
プロデューサーさんの気持ち、受信しました！","","Beep ♪
I received Producer's feelings!","","Beep beetle! ♪ Producer's
feelings got through to me.",""
"これでウサミンは無敵です！
おっきなライブだってもう怖くなんかありませんよ！","","Now Usamin is invincible!
Even big gigs don't scare me anymore!","","With this, usamine is invincible!
I'm not afraid of big concerts anymore!",""
"絶対に成功させますっ！
……とは言えないですけど","","We will make it a success!
I can't say that ......","","I'll make sure it succeeds!
...Well, I can't say that.",""
"でもでもっ、
当たって砕けろの精神で頑張りますっ！","","But still,
I will do my best with a ""hit and burn"" spirit!","","But, but! I'll do my best with the
spirit of being hit and shattered.",""
"ウサミンパワー全開で頼むぞ！
俺も一緒に駆け抜けるからな！","","I'm asking for full Usamin power!
I'll run through it with you!","","Usamine power at full strength!
I'll run with you!",""
"やりましたよ～、プロデューサーさん！","","I did it - I did it, Mr. Producer!","","We did it, Mr. Producer!",""
"うぅっ、ぐすっ……ナナ、会場を満員にできました！
お客さんのコンサートライト、綺麗で……ううっ","","Ugh, gosh ...... Nana, we were able to fill the venue!
The concert lights of the guests, beautiful and ...... ugh!","","*sniffle*... Nana, the venue is full!
The audience's concert lights are so pretty...",""
"そんなに泣かなくてもいいじゃないか。
あんなにいいライブができたのに","","You don't have to cry so much.
We had such a good show.","","You don't have to cry so much.
We had such a great concert.",""
"ナナにもよく分かりません～！
ナナどうして泣いてるんでしょうか？","","Nana doesn't understand it either!
Nana why is she crying?","","I don't really get it either~!
Nana, why are you crying?",""
"とにかくライブは大成功だ！
本当によくやったな、菜々！","","Anyway, the concert was a great success!
You really did a great job, Nana!","","Anyway, the concert was a huge success!
Well done, Nana!",""
"うわぁ～ん……プロデューサーさぁん……！","","Wow. ...... producers. ......","","Waaah... Mr. Producer!",""
"緊張の糸が切れて、安心したみたいだな","","You seem relieved that the tension is over.","","Seems like you're relieved to be free of the tension.",""
"そうかもしれません。それに、会場のお客さん、
みんなナナのために来てくれて……。嬉しくて……","","Maybe so, and the audience,
Everyone was so happy to come to ...... for Nana. ......","","That might be true. Besides, all the guests at this
venue came for me... I'm so happy to see them again!",""
"あんなにたくさんの人が喜んでくれたんだって、
そう思ったらもう……もうっ……！","","He said so many people were so happy,
If you think so, you can already ...... ......!","","When I thought about how many people
were happy, it made me... Jeez!",""
"あうう～っ、いろんな気持ちが湧いてきて、
涙が止まらないんです～！","","Ahhhhhh, so many feelings came up,
I can't stop crying~!","","*sniffle* I can't stop crying! There are
so many emotions welling up inside me...",""
"菜々の努力が実った、最高のライブだった。
お客さんは本当に楽しそうだったぞ","","Nana's efforts paid off, and it was a great show.
Your guests looked like they were having a real good time.","","Nana's efforts paid off. It was the best concert ever!
The customers looked like they were having a lot of fun.",""
"うう～、プロデューサーさん、
泣かせないでくださいよ～！","","Ughhhh, producer,
Please don't make me cry!","","*sniffle* Please don't
make Producer cry!",""
"……もう泣いてるじゃないか。
泣きながら言うセリフじゃないぞ","","...... You're already crying.
That's not something you say while crying.","","......you're already crying.
That's not something you say while crying.",""
"そうですけど、そんなこと言われたら、
どんどん涙があふれてきちゃうんですよ～！","","Yes, but if you say so,
I can't stop crying more and more!","","That's true, but when you say
it like that I start to cry!",""
"嬉しい涙ならいくらでも流せばいい。
菜々がそれだけ頑張って目標を達成した証なんだから","","You can shed as many tears of joy as you want.
It's proof that Nana worked that hard and achieved her goals.","","If you're crying tears of joy, just let it flow.
It's proof that you worked so hard to achieve your goal.",""
"うぅ……プロデューサーさぁあん……！
うわぁぁあああん……！","","Ugh ...... producer saan ......!
Wow! ......!","","*sob*... I'm Producer!
Waaah...!",""
"（泣き続ける菜々とふたりで、
成功の喜びをしばらくかみしめた）","","(With Nana, who keeps crying,
(He chewed on the joy of success for a while.)","","(For a while, we savor the joy of success
together as Nana continues to cry.)",""
"（ふたりでライブ成功のお祝いをするため、
社長おすすめの店に菜々を誘った）","","(To celebrate the success of the concert with the two of us,
(I invited Nana to a restaurant recommended by the president.)","","(To celebrate the success of our concert, we invited
Nana to a restaurant that President recommended.)",""
"菜々、ソロライブ成功おめでとう。
本当に、よく頑張ったな","","Nana, congratulations on your successful solo show.
Really, you did a great job.","","Congratulations on your solo performance, Nana.
You really did a good job.",""
"あの、トントン拍子でこんなことになるなんて、
まだ信じられなくて、夢を見てるみたいです","","Um, I can't believe this happened in a thumping,
I still can't believe it. It's like I'm dreaming.","","Um, I still can't believe it happened so
fast. It feels like a dream come true...",""
"ナナ、本当にあんなに大きな会場を、
満員にできたんですよね？","","Nana, really such a big venue,
We could have filled it up, couldn't we?","","Nana, did you really
fill up such a big venue?",""
"夢じゃないぞ。菜々の努力の結果だ！
一番近くで見ていた俺が証人だ","","It's not a dream, it's the result of Nana's efforts!
I was the closest witness.","","It's not a dream. This is the result of Nana!
I'm the witness who was watching from up close.",""
"プロデューサーさん！　ナナ、ひとりだったら
途中で諦めていたかもしれません","","Producer! Nana, if you were alone...
I might have given up along the way.","","Producer! If Nana were alone, she
might have given up halfway through.",""
"プロデューサーさんがいてくれたから、
最後まで頑張れたんです！","","Because Producer was there,
I was able to hang in there until the end!","","Thanks to you, we were
able all the way through!",""
"プロデューサーさん、ナナを支えてくれて、
ありがとうございますっ！","","Producer, for supporting Nana,
Thank you very much!","","Thank you so much for
supporting me, producer!",""
"俺の方こそ、感動をありがとう。
社長もライブの成功を喜んで……","","Thanks for the inspiration on my part.
The President is also pleased with the success of the concert: ......","","I'm the one who should be thanking you.
The president is happy for the concert's success...",""
